station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
CM103,Albrighton,ALB,West Midlands Railway,Shrewsbury,Shropshire,,,,,,,,,,,,,,,,,
CM104,Shrewsbury,SHR,West Midlands Railway,Shrewsbury,Shropshire,,,,,,,,,,,,,,,,,
CM105,Kidderminster,KID,West Midlands Railway,Hereford,Worcestershire,,,,,,,,,,,,,,,,,
CM106,Hartlebury,HTB,West Midlands Railway,Hereford,Worcestershire,,,,,,,,,,,,,,,,,
CM107,Droitwich Spa,DTW,West Midlands Railway,Hereford,Worcestershire,,,,,,,,,,,,,,,,,
CM108,Worcester Foregate Street,WOF,West Midlands Railway,Hereford,Worcestershire,,,,,,,,,,,,,,,,,
CM109,Worcester Shrub Hill,WOS,West Midlands Railway,Hereford,Worcestershire,,,,,,,,,,,,,,,,,
CM110,Malvern Link,MVL,West Midlands Railway,Hereford,Worcestershire,,,,,,,,,,,,,,,,,
CM111,Great Malvern,GMV,West Midlands Railway,Hereford,Worcestershire,,,,,,,,,,,,,,,,,
CM112,Colwall,CWL,West Midlands Railway,Hereford,Herefordshire,,,,,,,,,,,,,,,,,
CM113,Ledbury,LED,West Midlands Railway,Hereford,Herefordshire,,,,,,,,,,,,,,,,,
CM114,Hereford,HFD,West Midlands Railway,Hereford,Herefordshire,,,,,,,,,,,,,,,,,
CM115,Jewellery Quarter,JEQ,West Midlands Railway,Snow Hill,West Midlands
CM116,The Hawthorns,THW,West Midlands Railway,Snow Hill,West Midlands
CM117,Langley Green,LGG,West Midlands Railway,Snow Hill,West Midlands
CM118,Rowley Regis,ROW,West Midlands Railway,Snow Hill,West Midlands
CM119,Old Hill,OHL,West Midlands Railway,Snow Hill,West Midlands
CM120,Cradley Heath,CRA,West Midlands Railway,Snow Hill,West Midlands
CM121,Lye,LYE,West Midlands Railway,Snow Hill,West Midlands
CM122,Stourbridge Junction,SBJ,West Midlands Railway,Snow Hill,West Midlands
CM123,Stourbridge Town,SBT,West Midlands Railway,Branch,West Midlands
CM124,Hagley,HAG,West Midlands Railway,Worcester,Worcestershire
CM125,Blakedown,BKD,West Midlands Railway,Worcester,Worcestershire
CM126,Nuneaton,NUN,West Midlands Railway,Coventry,Warwickshire
CM127,Bedworth,BDW,West Midlands Railway,Coventry,Warwickshire
CM128,Bermuda Park,BMP,West Midlands Railway,Coventry,Warwickshire
