pattern_id,service_count,station_count,origin,destination,stations
SP000039,30,24,CHX,HGS,CHX|WAE|NWX|XPY|HGR|GRP|CIT|XPE|ORP|SEV|TON|HIB|TBW|FRT|WAD|SOG|ETC|RBR|BAT|CWU|WLD|XOP|SLQ|HGS
SP000040,1,18,OXF,MYB,OXF|OXP|ISP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|SRG|GER|WRU|SRU|NLT|WCX|XNJ|MYB
SP000041,2,25,PAD,HFD,PAD|STL|SLO|MAI|TWY|RDG|GOR|OXF|HND|CBY|AUW|KGM|MIM|HYB|EVE|WPH|WOS|WOF|XHK|MVL|GMV|XMN|CWL|LED|HFD
SP000042,30,11,DEE,EDB,DEE|LEU|CUP|LDY|MNC|KDY|BTS|INK|EGY|HYM|EDB
SP000043,4,15,BAN,MYB,BAN|KGS|XAN|BCS|XJV|HDM|PRR|SDR|HWY|GER|WRU|SRU|WCX|XNJ|MYB
SP000044,2,20,PAD,WOF,PAD|STL|SLO|MAI|TWY|RDG|GOR|OXF|HND|CBY|AUW|SIP|KGM|MIM|HYB|EVE|PSH|WPH|WOS|WOF
SP000045,5,17,OXF,MYB,OXF|OXP|ISP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|SRG|GER|WRU|SRU|WCX|XNJ|MYB
SP000046,6,11,RDC,BHM,RDC|ALV|BTG|LOB|NFD|KNN|BRV|SLY|UNI|FWY|BHM
SP000047,34,17,SHF,HUD,SHF|MHS|CLN|ELR|WOM|BNY|DOD|SLK|PNS|DBD|SPY|SSM|BHS|HOY|BBW|LCK|HUD
SP000048,17,22,PAD,GMV,PAD|STL|SLO|MAI|TWY|RDG|GOR|OXF|HND|CBY|AUW|KGM|MIM|HYB|EVE|PSH|WPH|WOS|WOF|XHK|MVL|GMV
SP000049,11,13,MYB,HWY,MYB|XNJ|WCX|SDH|NLT|SRU|WRU|DNM|DGC|GER|SRG|BCF|HWY
SP000050,4,15,LIF,BHM,LIF|LIC|SEN|BKT|BUL|FOK|SUT|WYL|CRD|ERD|GVH|AST|DUD|XOZ|BHM
SP000051,7,13,HWY,MYB,HWY|BCF|SRG|GER|DGC|DNM|WRU|SRU|NLT|SDH|WCX|XNJ|MYB
SP000052,2,17,TAU,CDF,TAU|BWT|HIG|WSM|WNM|WOR|YAT|NLS|PSN|BMT|BRI|FIT|PWY|PIL|STJ|NWP|CDF
SP000053,4,15,PMH,LIT,PMH|PMS|FTN|HLS|HAV|WBL|EMS|SOB|NUT|BOH|FSB|CCH|BAA|FOD|LIT
SP000054,10,20,HGS,CHX,HGS|SLQ|XOP|BAT|RBR|WAD|TBW|HIB|TON|HLB|SEV|ORP|XPE|CIT|GRP|HGR|XPY|NWX|WAE|CHX
SP000055,31,13,PTH,EDB,PTH|LDY|MNC|KDY|KGH|BTS|AUR|DAG|INK|EGY|SGL|HYM|EDB
SP000056,6,15,OXF,MYB,OXF|OXP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|GER|WRU|SRU|WCX|XNJ|MYB
SP000057,42,24,HGS,CHX,HGS|SLQ|XOP|WLD|CWU|BAT|RBR|ETC|SOG|WAD|FRT|TBW|HIB|TON|SEV|ORP|XPE|CIT|GRP|HGR|XPY|NWX|WAE|CHX
SP000058,72,2,BOG,BAA,BOG|BAA
SP000059,4,30,MYB,SBJ,MYB|XNJ|WCX|SRU|WRU|GER|HWY|SDR|PRR|HDM|XJV|BCS|XAN|BAN|XFC|LMS|WRW|WRP|HTN|DDG|SOL|TYS|XOH|BMO|BSW|JEQ|SGB|SMW|ROW|SBJ
SP000060,34,13,EDB,PTH,EDB|HYM|SGL|EGY|INK|DAG|AUR|BTS|KGH|KDY|MNC|LDY|PTH
SP000061,26,24,MYB,BMO,MYB|XNJ|WCX|SRU|WRU|GER|HWY|SDR|PRR|HDM|XJV|BCS|XAN|BAN|XFC|LMS|WRW|WRP|HTN|DDG|SOL|TYS|XOH|BMO
SP000062,6,4,LIT,BOG,LIT|FOD|BAA|BOG
SP000063,2,20,HGS,CHX,HGS|SLQ|XOP|BAT|RBR|ETC|WAD|TBW|HIB|TON|SEV|ORP|XPE|CIT|GRP|HGR|XPY|NWX|WAE|CHX
SP000064,18,4,TWY,HOT,TWY|WGV|SHI|HOT
SP000065,1,10,BTN,EBN,BTN|FMR|LWS|XRH|GLY|BRK|PLG|XIL|HMD|EBN
SP000066,2,21,ORE,CHX,ORE|HGS|SLQ|XOP|BAT|RBR|ETC|WAD|TBW|HIB|TON|SEV|ORP|XPE|CIT|GRP|HGR|XPY|NWX|WAE|CHX
SP000067,9,25,BSW,MYB,BSW|BMO|XOH|TYS|SOL|DDG|HTN|WRP|WRW|LMS|XFC|BAN|XAN|BCS|XJV|HDM|PRR|SDR|HWY|GER|WRU|SRU|WCX|XNJ|MYB
SP000068,64,10,BIK,XSU,BIK|CYP|GIP|WNW|TUH|NDL|EDW|QRP|SBM|XSU
SP000069,4,11,WMN,BRI,WMN|DMH|WSB|TRO|BOA|AVF|FFD|BTH|OLF|KYN|BRI
SP000070,4,42,EUS,STG,EUS|XWI|WMB|HRW|WFJ|XOE|TRI|XOD|BLY|MKC|XHN|XWZ|RUG|NUN|XIM|XOI|XCO|STA|CRE|WSF|ACB|XYJ|WBQ|WGN|XOU|PRE|LAN|XOA|OXN|XIT|PNR|CAR|XGS|LOC|SDM|MTH|WFF|CBC|GRL|CUB|LBT|STG
SP000071,2,22,HGS,CHX,HGS|SLQ|XOP|WLD|CWU|BAT|RBR|ETC|WAD|TBW|HIB|TON|SEV|ORP|XPE|CIT|GRP|HGR|XPY|NWX|WAE|CHX
SP000072,14,5,WSB,SWI,WSB|TRO|MKM|CPM|SWI
SP000073,12,17,OXF,MYB,OXF|OXP|ISP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|BCF|GER|WRU|SRU|WCX|XNJ|MYB
SP000074,10,27,BHI,LLJ,BHI|SCF|XOZ|BHM|XOS|XGJ|SAD|DDP|WVH|COS|XMD|TFC|WLN|XSY|SHR|GOB|CRK|RUA|WRX|CTR|SHT|FLN|PRT|RHL|AGL|CWB|LLJ
SP000075,12,18,MCV,SOP,MCV|SFD|SLD|KSL|FNW|MSS|BON|XLK|WHG|HIN|INC|WGW|GST|APB|PBL|BCB|MEC|SOP
SP000076,14,24,BHI,AYW,BHI|SCF|XOZ|BHM|XOS|XGJ|SAD|DDP|WVH|COS|XMD|TFC|WLN|XSY|SHR|WLP|NWT|CWS|MCN|DVY|BRH|BOW|LLB|AYW
SP000077,30,26,EUS,MAN,EUS|XWI|WMB|HRW|WFJ|XOE|TRI|XOD|BLY|MKC|XHN|XWZ|RUG|NUN|XIM|XOI|XCO|STA|CRE|SDB|CEL|ALD|WML|CHU|SPT|MAN
SP000078,6,8,MYB,WRU,MYB|XNJ|WCX|SUD|SDH|NLT|SRU|WRU
SP000079,1,23,MIA,CLE,MIA|HDG|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000080,1,32,CLE,LIV,CLE|GMB|SLL|HAB|BTB|SCU|ALP|CWE|TNS|HFS|KKS|DON|MEX|RMC|MHS|SHF|DOR|GRN|BAM|EDL|HAZ|SPT|MAN|MCO|DGT|BWD|WAC|HGN|HNX|ALE|EDG|LIV
SP000081,3,9,MYB,HWY,MYB|XNJ|WCX|SRU|WRU|DNM|GER|BCF|HWY
SP000082,2,34,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAW|WAC|BWD|IRL|URM|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|DOR|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000083,6,25,BDI,KGX,BDI|LMR|HFX|BGH|MIR|WKK|PFM|DON|RET|XNK|NNG|GRA|PBO|HUN|SDY|BIW|HIT|SVG|XGN|WGC|PBR|AAP|FPK|XKB|KGX
SP000084,2,3,WSB,SAL,WSB|WMN|SAL
SP000085,2,30,CLE,LIV,CLE|GMB|SLL|HAB|BTB|SCU|CWE|HFS|KKS|DON|MEX|SWN|MHS|SHF|DOR|GRN|BAM|EDL|HAZ|SPT|MAN|MCO|DGT|BWD|WAC|HGN|HNX|ALE|EDG|LIV
SP000086,2,32,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAW|WAC|BWD|IRL|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000087,12,27,SUN,KGX,SUN|SEA|HPL|STK|EAG|YRM|NTR|THI|YRK|DON|RET|XNK|NNG|GRA|PBO|HUN|SDY|BIW|HIT|SVG|XGN|WGC|PBR|AAP|FPK|XKB|KGX
SP000088,4,25,MYB,BMO,MYB|XNJ|WCX|SRU|WRU|GER|HWY|SDR|PRR|HDM|XJV|BCS|XAN|KGS|BAN|XFC|LMS|WRW|WRP|HTN|DDG|SOL|TYS|XOH|BMO
SP000089,22,31,CLE,LIV,CLE|GMB|SLL|HAB|BTB|SCU|CWE|HFS|KKS|DON|MEX|SWN|MHS|SHF|GRN|BAM|EDL|HAZ|SPT|MAN|MCO|DGT|URM|IRL|BWD|WAC|HGN|HNX|ALE|EDG|LIV
SP000090,2,4,WSB,SAL,WSB|DMH|WMN|SAL
SP000091,2,31,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAW|WAC|BWD|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000092,16,27,PWL,MCN,PWL|ABH|PNC|CCC|PTM|MFF|PRH|LLC|TAL|TYG|HRL|LDN|PES|LBR|DYF|TLB|LLA|BRM|MFA|FRB|LLW|TNF|TYW|AVY|PHG|DVY|MCN
SP000093,14,32,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAC|BWD|IRL|URM|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000094,7,21,PAD,PLY,PAD|STL|SLO|MAI|TWY|RDG|THE|NBY|BDW|PEW|CLC|TAU|TVP|EXD|DWW|DWL|TGM|NTA|TOT|IVY|PLY
SP000095,12,21,SOP,MCV,SOP|MEC|BES|NLN|BCB|HSC|PBL|APB|GST|WGW|INC|HIN|WHG|XLK|BON|MSS|FNW|KSL|SLD|SFD|MCV
SP000096,8,34,PAD,PNZ,PAD|STL|SLO|MAI|TWY|RDG|THE|NBY|BDW|PEW|CLC|TAU|TVP|EXD|DWW|DWL|TGM|NTA|TOT|IVY|PLY|STS|SGM|LSK|BOD|LOS|PAR|SAU|TRU|RED|CBN|HYL|SER|PNZ
SP000097,22,19,WSM,SVB,WSM|WNM|WOR|YAT|NLS|PSN|BMT|BRI|LWH|SRD|MTP|RDA|CFN|SML|SHH|PRI|AVN|SAR|SVB
SP000098,15,15,BUX,MAN,BUX|DVH|CEF|WBR|FNV|NMN|DSL|MDL|HAZ|WSR|DVN|SPT|HTC|LVM|MAN
SP000099,10,33,PAD,PNZ,PAD|STL|SLO|MAI|TWY|RDG|THE|NBY|BDW|PEW|CLC|TAU|TVP|EXD|DWW|DWL|TGM|NTA|TOT|IVY|PLY|STS|SGM|LSK|BOD|LOS|PAR|SAU|TRU|RED|CBN|SER|PNZ
SP000100,32,24,BMO,MYB,BMO|XOH|TYS|SOL|DDG|HTN|WRP|WRW|LMS|XFC|BAN|XAN|BCS|XJV|HDM|PRR|SDR|HWY|GER|WRU|SRU|WCX|XNJ|MYB
SP000101,2,17,WSM,AVN,WSM|WNM|WOR|YAT|NLS|PSN|BMT|BRI|LWH|SRD|MTP|RDA|CFN|SML|SHH|PRI|AVN
SP000102,6,26,KGX,BDI,KGX|XKB|FPK|AAP|PBR|WGC|XGN|SVG|HIT|BIW|SDY|HUN|XHO|PBO|GRA|NNG|XNK|RET|DON|PFM|WKK|MIR|BGH|HFX|LMR|BDI
SP000103,14,18,SOP,MCV,SOP|MEC|BCB|PBL|APB|GST|WGW|INC|HIN|WHG|XLK|BON|MSS|FNW|KSL|SLD|SFD|MCV
SP000104,141,22,WCY,XHZ,WCY|XGU|NWD|ANZ|PNW|SYD|FOH|HPA|BCY|NXG|SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ|XIC|XHZ
SP000105,67,11,PAD,DID,PAD|STL|SLO|MAI|TWY|RDG|TLH|PAN|GOR|CHO|DID
SP000106,21,9,PAD,NBY,PAD|STL|SLO|MAI|TWY|RDG|THE|THA|NBY
SP000107,12,28,KGX,SUN,KGX|XKB|FPK|AAP|PBR|WGC|XGN|SVG|HIT|BIW|SDY|HUN|XHO|PBO|GRA|NNG|XNK|RET|DON|YRK|THI|NTR|YRM|EAG|STK|HPL|SEA|SUN
SP000108,4,19,HGS,CHX,HGS|SLQ|XOP|BAT|RBR|WAD|TBW|HIB|TON|SEV|ORP|XPE|CIT|GRP|HGR|XPY|NWX|WAE|CHX
SP000109,4,30,CLE,LIV,CLE|GMB|SLL|HAB|BTB|SCU|CWE|HFS|KKS|DON|MEX|SWN|MHS|SHF|GRN|BAM|EDL|HAZ|SPT|MAN|MCO|DGT|BWD|WAC|WAW|HGN|HNX|ALE|EDG|LIV
SP000110,50,42,LUT,RAI,LUT|LTN|HPD|SAC|RDT|ELS|MIL|HEN|BCZ|CRI|WHP|KTN|SPL|ZFD|CTK|BFR|XMK|XKE|DEP|GNW|MZH|WCB|CTN|WWA|PLU|ABW|SGR|XRT|DFD|SCG|GNH|SWM|NFL|XSR|GRV|HGM|SOO|XRJ|RTR|CTM|GLM|RAI
SP000111,30,26,MAN,EUS,MAN|SPT|CHU|WML|ALD|CEL|SDB|CRE|STA|XCO|XOI|XIM|NUN|RUG|XWZ|XHN|MKC|BLY|XOD|TRI|XOE|WFJ|HRW|WMB|XWI|EUS
SP000112,32,15,HFX,HUL,HFX|BDI|NPD|BLE|LDS|CRG|GRF|EGF|MIK|SOM|SBY|HOW|GBD|BUH|HUL
SP000113,2,31,CLE,LIV,CLE|GMB|SLL|HAB|BTB|SCU|CWE|HFS|KKS|DON|MEX|SWN|MHS|SHF|GRN|BAM|EDL|HAZ|SPT|MAN|MCO|DGT|IRL|BWD|WAC|WAW|HGN|HNX|ALE|EDG|LIV
SP000114,1,11,HWY,MYB,HWY|BCF|SRG|GER|DGC|DNM|WRU|SRU|WCX|XNJ|MYB
SP000115,43,42,RAI,LUT,RAI|GLM|CTM|RTR|XRJ|SOO|HGM|GRV|XSR|NFL|SWM|GNH|SCG|DFD|XRT|SGR|ABW|PLU|WWA|CTN|WCB|MZH|GNW|DEP|XKE|XMK|BFR|CTK|ZFD|SPL|KTN|WHP|CRI|BCZ|HEN|MIL|ELS|RDT|SAC|HPD|LTN|LUT
SP000116,28,24,RHY,BGN,RHY|TIR|BGD|PGM|HNG|YSM|LNB|ABE|CPH|LVT|LLS|HHL|CDQ|CDF|GTN|CGN|EBK|DNS|CAD|BYD|BRY|RIA|LWM|BGN
SP000117,10,15,MYB,OXF,MYB|XNJ|WCX|SRU|WRU|GER|HWY|SDR|PRR|HDM|XJV|XGY|BIT|OXP|OXF
SP000118,30,8,CDF,CNM,CDF|NWP|STJ|CDT|CPW|LYD|GCR|CNM
SP000119,36,2,YMH,LYP,YMH|LYP
SP000120,3,17,OXF,MYB,OXF|OXP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|BCF|GER|DNM|WRU|SRU|WCX|XNJ|MYB
SP000121,2,31,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAC|BWD|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|DOR|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000122,30,15,HUL,HFX,HUL|BUH|GBD|HOW|SBY|SOM|MIK|EGF|GRF|CRG|LDS|BLE|NPD|BDI|HFX
SP000123,8,3,TON,TBW,TON|HIB|TBW
SP000124,15,25,MYB,BSW,MYB|XNJ|WCX|SRU|WRU|GER|HWY|SDR|PRR|HDM|XJV|BCS|XAN|BAN|XFC|LMS|WRW|WRP|HTN|DDG|SOL|TYS|XOH|BMO|BSW
SP000125,6,12,WGW,MCV,WGW|INC|HIN|WHG|XLK|BON|MSS|FNW|KSL|SLD|SFD|MCV
SP000126,2,32,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAW|WAC|BWD|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|DOR|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000127,22,11,WOF,BRI,WOF|WOS|XAY|ASC|CNM|GCR|CDU|YAE|BPW|FIT|BRI
SP000128,2,33,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAC|BWD|IRL|URM|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|DOR|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
SP000129,2,20,PAD,WOF,PAD|STL|SLO|MAI|TWY|RDG|GOR|DID|OXF|HND|CBY|AUW|KGM|MIM|HYB|EVE|PSH|WPH|WOS|WOF
SP000130,36,2,LYP,YMH,LYP|YMH
SP000131,1,45,RAI,LUT,RAI|GLM|CTM|RTR|XRJ|SOO|HGM|GRV|XSR|NFL|SWM|GNH|SCG|DFD|XRT|SGR|ERH|BVD|ABW|PLU|WWA|WWD|CTN|WCB|MZH|GNW|DEP|XKE|XMK|BFR|CTK|ZFD|SPL|KTN|WHP|CRI|BCZ|HEN|MIL|ELS|RDT|SAC|HPD|LTN|LUT
SP000132,10,3,GIR,AYR,GIR|MAY|AYR
SP000133,2,35,LIV,CLE,LIV|EDG|ALE|HNX|HGN|WAC|BWD|IRL|URM|DGT|MCO|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|DOR|SHF|MHS|SWN|MEX|DON|KKS|HFS|TNS|CWE|ALP|SCU|BTB|HAB|SLL|GMB|CLE
SP000134,22,23,DDG,WOF,DDG|WMR|SOL|OLT|ACG|TYS|XOH|BMO|BSW|JEQ|THW|SGB|SMW|ROW|CRA|SBJ|HAG|BKD|KID|HBY|DTW|WOS|WOF
SP000135,4,10,WOS,BRI,WOS|XAY|ASC|CNM|GCR|CDU|YAE|BPW|FIT|BRI
SP000136,2,11,LIV,OXN,LIV|EDG|ROB|HUY|SNH|WGN|XOU|PRE|LAN|XOA|OXN
SP000137,70,13,BAL,EGR,BAL|SRS|ECR|SCY|SNR|RDD|UWL|WOH|OXT|HUR|LFD|DMS|EGR
SP000138,3,32,WHP,RAI,WHP|KTN|SPL|ZFD|CTK|BFR|XMK|XKE|DEP|GNW|MZH|WCB|CTN|WWA|PLU|ABW|SGR|XRT|DFD|SCG|GNH|SWM|NFL|XSR|GRV|HGM|SOO|XRJ|RTR|CTM|GLM|RAI
SP000139,50,9,TRI,EUS,TRI|BKM|XOE|HML|WFJ|HRW|WMB|XWI|EUS
SP000140,13,19,YRK,KGX,YRK|DON|RET|XNK|NNG|GRA|PBO|HUN|SDY|BIW|HIT|SVG|XGN|WGC|PBR|AAP|FPK|XKB|KGX
SP000141,8,7,WRU,MYB,WRU|SRU|NLT|SDH|WCX|XNJ|MYB
SP000142,61,7,PCN,GLC,PCN|HKH|CKT|MPK|CKH|DUM|GLC
SP000143,70,13,EGR,BAL,EGR|DMS|LFD|HUR|OXT|WOH|UWL|RDD|SNR|SCY|ECR|SRS|BAL
SP000144,6,14,GLT,EDB,GLT|CDD|LCG|COW|DFL|DFE|ROS|INK|NQU|DAM|EGY|SGL|HYM|EDB
SP000145,2,7,MYB,WRU,MYB|XNJ|WCX|SUD|SDH|SRU|WRU
SP000146,28,16,GRK,GLC,GRK|FTM|GKW|GKC|CDY|BGS|PTG|WDL|LGB|BPT|PYJ|PYG|HLW|HLE|CDO|GLC
SP000147,2,19,GLC,LIV,GLC|CML|WSH|LOC|XGS|CAR|PNR|XIT|OXN|XOA|LAN|PRE|XOU|WGN|SNH|HUY|ROB|EDG|LIV
SP000148,30,13,CLH,MCV,CLH|WHE|LHO|RGW|BBN|DWN|ENT|BMC|HID|BON|SLD|SFD|MCV
SP000149,14,22,EDB,MIA,EDB|HYM|SLA|LOC|XGS|CAR|PNR|XIT|OXN|XOA|LAN|PRE|XOU|CRL|XLK|BON|SLD|DGT|MCO|MAN|HDG|MIA
SP000150,4,2,IBS,ULP,IBS|ULP
SP000151,62,20,WSL,WVH,WSL|BSC|TAB|HSD|XRA|PRY|WTT|AST|DUD|XOZ|BHM|XOS|SMR|XGJ|XGQ|SAD|DDP|TIP|CSY|WVH
SP000152,2,11,GLT,EDB,GLT|CDD|LCG|COW|DFL|DFE|ROS|INK|EGY|HYM|EDB
SP000153,66,11,DID,PAD,DID|CHO|GOR|PAN|TLH|RDG|TWY|MAI|SLO|STL|PAD
SP000154,1,21,HGS,CST,HGS|SLQ|XOP|BAT|RBR|ETC|WAD|TBW|HIB|TON|SEV|ORP|XPE|CIT|GRP|HGR|XPY|SAJ|NWX|XKE|CST
SP000155,10,36,HLC,EDB,HLC|CGD|CDR|DLR|DBC|DBE|DMR|SIN|DMY|DMC|WES|ANL|HYN|PTK|CHC|GQL|HST|BLG|CAY|SLS|GAR|EST|BAI|CBS|COA|ADR|DRU|CAC|BKR|ARM|BHG|LSN|UHA|EDP|HYM|EDB
SP000156,38,12,GLC,GLC,GLC|PLW|MAX|SHL|PWE|LGS|CCT|MFL|COI|QPK|PLE|GLC
SP000157,2,10,LAN,MIA,LAN|PRE|XOU|WGN|ECC|DGT|MCO|MAN|HDG|MIA
SP000158,2,10,NNG,PBO,NNG|CLM|SWD|HKM|LCN|MGM|RKT|SLR|SPA|PBO
SP000159,2,11,BBN,BPN,BBN|MLH|CYT|PLS|BMB|XLS|LOH|PRE|KKM|PFY|BPN
SP000160,36,13,SHF,LDS,SHF|MHS|RMC|SWN|BTD|GOE|THC|MRP|FZW|SNA|WKF|OUT|LDS
SP000161,2,11,OXN,LIV,OXN|XOA|LAN|PRE|XOU|WGN|SNH|HUY|ROB|EDG|LIV
SP000162,26,6,PBO,LCN,PBO|SPA|SLR|RKT|MGM|LCN
SP000163,4,19,GLC,LIV,GLC|MTH|SDM|LOC|XGS|CAR|PNR|XIT|OXN|XOA|LAN|PRE|XOU|WGN|SNH|HUY|ROB|EDG|LIV
