route_id,pattern_id,origin,destination,station_count,station_sequence
R00028,SP003494,BRI,GMV,14,BRI|FIT|BPW|YAE|CDU|GCR|CNM|ASC|XAY|WOS|WOF|XHK|MVL|GMV
R00029,SP001577,SSD,BHM,28,SSD|AUD|XSP|CMS|CBG|CMB|WBC|ELY|XYE|MNE|MCH|WLE|PBO|SMD|XMJ|OKM|MMO|LEI|SWS|NBR|HNK|NUN|XQW|CEH|WTO|XLX|XOZ|BHM
R00030,SP000036,HNW,XCN,7,HNW|HNC|AIR|SHS|XJB|LVG|XCN
R00031,SP000037,SWI,WSB,5,SWI|CPM|MKM|TRO|WSB
R00032,SP000038,EXD,EXM,11,EXD|EXC|SJP|POL|DIG|NCO|TOP|EXN|LYC|LYM|EXM
R00033,SP004488,OXF,MYB,19,OXF|OXP|ISP|BIT|XGY|XJV|HDM|PRR|SDR|HWY|SRG|GER|DGC|DNM|WRU|SRU|WCX|XNJ|MYB
R00034,SP000840,PAD,PNZ,36,PAD|STL|SLO|MAI|TWY|RDG|GOR|DID|SWI|CPM|BTH|BRI|BWT|TAU|TVP|EXD|DWW|DWL|TGM|NTA|TOT|IVY|PLY|STS|SGM|LSK|BOD|LOS|PAR|SAU|TRU|RED|CBN|HYL|SER|PNZ
R00035,SP004619,DEE,EDB,14,DEE|LEU|CUP|LDY|MNC|KDY|BTS|INK|NQU|DAM|EGY|SGL|HYM|EDB
R00036,SP000645,BAN,MYB,16,BAN|KGS|XAN|BCS|XJV|HDM|PRR|SDR|HWY|SRG|GER|WRU|SRU|WCX|XNJ|MYB
R00037,SP001479,RDC,FOK,20,RDC|ALV|BTG|LOB|NFD|KNN|BRV|SLY|UNI|FWY|BHM|XOZ|DUD|AST|GVH|ERD|CRD|WYL|SUT|FOK
R00038,SP000047,SHF,HUD,17,SHF|MHS|CLN|ELR|WOM|BNY|DOD|SLK|PNS|DBD|SPY|SSM|BHS|HOY|BBW|LCK|HUD
R00039,SP000049,MYB,HWY,13,MYB|XNJ|WCX|SDH|NLT|SRU|WRU|DNM|DGC|GER|SRG|BCF|HWY
R00040,SP003934,LIF,BMV,24,LIF|LIC|SEN|BKT|BUL|FOK|SUT|WYL|CRD|ERD|GVH|AST|DUD|XOZ|BHM|FWY|UNI|SLY|BRV|KNN|NFD|LOB|BTG|BMV
R00041,SP000051,HWY,MYB,13,HWY|BCF|SRG|GER|DGC|DNM|WRU|SRU|NLT|SDH|WCX|XNJ|MYB
R00042,SP001449,TAU,SVB,22,TAU|BWT|HIG|WSM|WNM|WOR|YAT|NLS|PSN|BMT|BRI|LWH|SRD|MTP|RDA|CFN|SML|SHH|PRI|AVN|SAR|SVB
R00043,SP001162,PMH,BTN,25,PMH|PMS|FTN|HLS|HAV|WBL|EMS|SOB|NUT|BOH|FSB|CCH|BAA|FOD|XXA|ANG|WWO|WRH|EWR|LAC|SSE|SWK|PLD|HOV|BTN
R00044,SP000174,HGS,CST,22,HGS|SLQ|XOP|BAT|RBR|ETC|WAD|TBW|HIB|TON|SEV|CLD|ORP|XPE|CIT|GRP|HGR|XPY|SAJ|NWX|XKE|CST
R00045,SP001531,PTH,EDB,15,PTH|LDY|MNC|KDY|KGH|BTS|AUR|DAG|INK|NQU|DAM|EGY|SGL|HYM|EDB
R00046,SP004566,HGS,CST,31,HGS|SLQ|XOP|WLD|CWU|BAT|RBR|ETC|SOG|WAD|FRT|TBW|HIB|TON|HLB|SEV|DNG|KCK|CLD|ORP|PET|XPE|CIT|ESD|GRP|HGR|XPY|SAJ|NWX|XKE|CST
R00047,SP000058,BOG,BAA,2,BOG|BAA
R00048,SP003757,EDB,LEV,14,EDB|HYM|SGL|EGY|INK|ROS|DFE|DFL|COW|LCG|CDD|GLT|CBX|LEV
R00049,SP000062,LIT,BOG,4,LIT|FOD|BAA|BOG
R00050,SP000064,TWY,HOT,4,TWY|WGV|SHI|HOT
R00051,SP004553,BTN,ORE,20,BTN|FMR|LWS|XRH|GLY|BRK|PLG|XIL|HMD|EBN|HMD|XIL|PEV|NSB|COB|BEX|XOP|SLQ|HGS|ORE
R00052,SP000066,ORE,CHX,21,ORE|HGS|SLQ|XOP|BAT|RBR|ETC|WAD|TBW|HIB|TON|SEV|ORP|XPE|CIT|GRP|HGR|XPY|NWX|WAE|CHX
R00053,SP004634,BSW,MYB,27,BSW|BMO|XOH|TYS|SOL|DDG|LPW|HTN|WRP|WRW|LMS|XFC|BAN|KGS|XAN|BCS|XJV|HDM|PRR|SDR|HWY|GER|WRU|SRU|WCX|XNJ|MYB
R00054,SP000068,BIK,XSU,10,BIK|CYP|GIP|WNW|TUH|NDL|EDW|QRP|SBM|XSU
R00055,SP003486,WMN,GCR,13,WMN|DMH|WSB|TRO|BOA|BTH|OLF|KYN|BRI|FIT|BPW|YAE|GCR
R00056,SP004232,EUS,INV,68,EUS|XWI|WMB|HRW|WFJ|XOE|TRI|XOD|BLY|MKC|WOL|XHN|XWZ|RUG|COV|CNL|THL|BKW|HIA|BHI|MGN|LEH|SCF|AST|XRA|BSC|XPJ|XBJ|PKG|STA|CRE|WSF|ACB|XYJ|WBQ|WGN|XOU|PRE|LAN|XOA|OXN|XIT|PNR|XGS|LOC|SLA|HYM|HYM|EDP|LIN|PMT|XGM|FKG|CMO|LBT|STG|DBL|GLE|PTH|DKD|PIT|BLA|DLW|NWR|KIN|AVM|CAG|INV
R00057,SP001252,WSB,CNM,10,WSB|TRO|MKM|CPM|SWI|KEM|STD|SHU|GCR|CNM
R00058,SP002825,BHI,HHD,32,BHI|SCF|XOZ|BHM|XOS|XGJ|SAD|DDP|WVH|COS|XMD|TFC|WLN|XSY|SHR|GOB|CRK|RUA|WRX|CTR|SHT|FLN|PRT|RHL|AGL|CWB|LLJ|PMW|BNG|LPG|VAL|HHD
R00059,SP000579,MCV,SOP,21,MCV|SFD|SLD|KSL|FNW|MSS|BON|XLK|WHG|HIN|INC|WGW|GST|APB|PBL|HSC|BCB|NLN|BES|MEC|SOP
R00060,SP000078,MYB,WRU,8,MYB|XNJ|WCX|SUD|SDH|NLT|SRU|WRU
R00061,SP000079,MIA,CLE,23,MIA|HDG|MAN|SPT|HAZ|EDL|BAM|HSG|GRN|SHF|MHS|SWN|MEX|DON|KKS|HFS|CWE|SCU|BTB|HAB|SLL|GMB|CLE
R00062,SP000080,CLE,LIV,32,CLE|GMB|SLL|HAB|BTB|SCU|ALP|CWE|TNS|HFS|KKS|DON|MEX|RMC|MHS|SHF|DOR|GRN|BAM|EDL|HAZ|SPT|MAN|MCO|DGT|BWD|WAC|HGN|HNX|ALE|EDG|LIV
R00063,SP004143,LIV,NRW,41,LIV|EDG|ALE|HNX|HGN|WID|WAC|BWD|DGT|MCO|MAN|SPT|HAZ|CLY|EDL|BAM|HSG|GRN|DOR|SHF|DRO|CHD|ALF|LGM|NOT|RDF|BIN|ALK|GRA|PBO|WLE|MCH|MNE|XYE|ELY|XYE|BND|TTF|ATL|WMD|NRW
R00064,SP000083,BDI,KGX,25,BDI|LMR|HFX|BGH|MIR|WKK|PFM|DON|RET|XNK|NNG|GRA|PBO|HUN|SDY|BIW|HIT|SVG|XGN|WGC|PBR|AAP|FPK|XKB|KGX
R00065,SP000084,WSB,SAL,3,WSB|WMN|SAL
R00066,SP000087,SUN,KGX,27,SUN|SEA|HPL|STK|EAG|YRM|NTR|THI|YRK|DON|RET|XNK|NNG|GRA|PBO|HUN|SDY|BIW|HIT|SVG|XGN|WGC|PBR|AAP|FPK|XKB|KGX
R00067,SP000090,WSB,SAL,4,WSB|DMH|WMN|SAL
R00068,SP000092,PWL,MCN,27,PWL|ABH|PNC|CCC|PTM|MFF|PRH|LLC|TAL|TYG|HRL|LDN|PES|LBR|DYF|TLB|LLA|BRM|MFA|FRB|LLW|TNF|TYW|AVY|PHG|DVY|MCN
R00069,SP000095,SOP,MCV,21,SOP|MEC|BES|NLN|BCB|HSC|PBL|APB|GST|WGW|INC|HIN|WHG|XLK|BON|MSS|FNW|KSL|SLD|SFD|MCV
R00070,SP000097,WSM,SVB,19,WSM|WNM|WOR|YAT|NLS|PSN|BMT|BRI|LWH|SRD|MTP|RDA|CFN|SML|SHH|PRI|AVN|SAR|SVB
R00071,SP000098,BUX,MAN,15,BUX|DVH|CEF|WBR|FNV|NMN|DSL|MDL|HAZ|WSR|DVN|SPT|HTC|LVM|MAN
R00072,SP002430,BMO,MYB,26,BMO|XOH|TYS|SOL|DDG|LPW|HTN|WRP|WRW|LMS|XFC|BAN|KGS|XAN|BCS|XJV|HDM|PRR|SDR|HWY|GER|WRU|SRU|WCX|XNJ|MYB
R00073,SP003669,KGX,INV,50,KGX|XKB|FPK|AAP|PBR|WGC|XGN|SVG|HIT|BIW|SDY|HUN|XHO|PBO|GRA|NNG|XNK|RET|DON|YRK|THI|NTR|DAR|DHM|NCL|MPT|ALM|BWK|RSN|DUN|DRM|PST|EDB|HYM|LIN|PMT|XGM|FKG|STG|DBL|GLE|PTH|DKD|PIT|BLA|DLW|KIN|AVM|CAG|INV
R00074,SP000103,SOP,MCV,18,SOP|MEC|BCB|PBL|APB|GST|WGW|INC|HIN|WHG|XLK|BON|MSS|FNW|KSL|SLD|SFD|MCV
R00075,SP000104,WCY,XHZ,22,WCY|XGU|NWD|ANZ|PNW|SYD|FOH|HPA|BCY|NXG|SQE|ZCW|ROE|WPE|SDE|ZLW|SDC|HOX|HGG|DLJ|XIC|XHZ
R00076,SP000110,LUT,RAI,42,LUT|LTN|HPD|SAC|RDT|ELS|MIL|HEN|BCZ|CRI|WHP|KTN|SPL|ZFD|CTK|BFR|XMK|XKE|DEP|GNW|MZH|WCB|CTN|WWA|PLU|ABW|SGR|XRT|DFD|SCG|GNH|SWM|NFL|XSR|GRV|HGM|SOO|XRJ|RTR|CTM|GLM|RAI
R00077,SP004565,MAN,MFH,47,MAN|SPT|CHU|WML|ALD|CEL|SDB|CRE|NAN|WRE|WTC|PRS|WEM|SHR|CTT|CRV|LUD|LEO|HFD|AGV|PPL|CWM|NWP|CDF|PYC|BGN|PYL|PTA|BAJ|BNF|NTH|SKE|LAS|SWA|GWN|LLE|PBY|KWL|FYS|XCI|CMN|WTL|CUW|CLR|HVF|JOH|MFH
R00078,SP001872,HFX,HUL,17,HFX|BDI|NPD|BLE|LDS|CRG|GRF|EGF|MIK|SOM|SBY|HOW|GBD|BUH|FRY|HES|HUL
R00079,SP000131,RAI,LUT,45,RAI|GLM|CTM|RTR|XRJ|SOO|HGM|GRV|XSR|NFL|SWM|GNH|SCG|DFD|XRT|SGR|ERH|BVD|ABW|PLU|WWA|WWD|CTN|WCB|MZH|GNW|DEP|XKE|XMK|BFR|CTK|ZFD|SPL|KTN|WHP|CRI|BCZ|HEN|MIL|ELS|RDT|SAC|HPD|LTN|LUT
R00080,SP000116,RHY,BGN,24,RHY|TIR|BGD|PGM|HNG|YSM|LNB|ABE|CPH|LVT|LLS|HHL|CDQ|CDF|GTN|CGN|EBK|DNS|CAD|BYD|BRY|RIA|LWM|BGN
R00081,SP000119,YMH,LYP,2,YMH|LYP
R00082,SP001593,HUL,KGX,23,HUL|BUH|GBD|HOW|SBY|DON|RET|XNK|NNG|GRA|PBO|HUN|SDY|BIW|HIT|SVG|XGN|WGC|PBR|AAP|FPK|XKB|KGX
R00083,SP000123,TON,TBW,3,TON|HIB|TBW
R00084,SP000125,WGW,MCV,12,WGW|INC|HIN|WHG|XLK|BON|MSS|FNW|KSL|SLD|SFD|MCV
R00085,SP000127,WOF,BRI,11,WOF|WOS|XAY|ASC|CNM|GCR|CDU|YAE|BPW|FIT|BRI
R00086,SP000130,LYP,YMH,2,LYP|YMH
R00087,SP000132,GIR,AYR,3,GIR|MAY|AYR
R00088,SP000175,DDG,WOF,26,DDG|WMR|SOL|OLT|ACG|TYS|XOH|BMO|BSW|JEQ|THW|SGB|SMW|LGG|ROW|OHL|CRA|LYE|SBJ|HAG|BKD|KID|HBY|DTW|WOS|WOF
R00089,SP003436,WOS,PAD,17,WOS|XAY|ASC|CNM|GCR|SHU|STD|KEM|SWI|DID|GOR|RDG|TWY|MAI|SLO|STL|PAD
R00090,SP000209,LIV,GLC,20,LIV|EDG|ROB|HUY|SNH|WGN|XOU|PRE|LAN|XOA|OXN|XIT|PNR|CAR|XGS|LOC|WSH|WFF|CML|GLC
R00091,SP000137,BAL,EGR,13,BAL|SRS|ECR|SCY|SNR|RDD|UWL|WOH|OXT|HUR|LFD|DMS|EGR
R00092,SP003915,WHP,RAI,35,WHP|KTN|SPL|ZFD|CTK|BFR|XMK|XKE|DEP|GNW|MZH|WCB|CTN|WWD|WWA|PLU|ABW|BVD|ERH|SGR|XRT|DFD|SCG|GNH|SWM|NFL|XSR|GRV|HGM|SOO|XRJ|RTR|CTM|GLM|RAI
R00093,SP001284,TRI,EUS,10,TRI|BKM|XOE|HML|WFJ|BSH|HRW|WMB|XWI|EUS
R00094,SP003701,YRK,KGX,28,YRK|DON|RET|XNK|NNG|GRA|PBO|HUN|SNO|SDY|BIW|ARL|HIT|SVG|KBW|XGN|WGC|HAT|BPK|PBR|HDW|OKL|NSG|AAP|HGY|FPK|XKB|KGX
R00095,SP000141,WRU,MYB,7,WRU|SRU|NLT|SDH|WCX|XNJ|MYB
R00096,SP000142,PCN,GLC,7,PCN|HKH|CKT|MPK|CKH|DUM|GLC
R00097,SP002157,EGR,BDM,33,EGR|DMS|LFD|HUR|OXT|WOH|UWL|RDD|SNR|SCY|ECR|NWD|SYD|NXG|XLJ|XMK|BFR|CTK|ZFD|SPL|KTN|WHP|CRI|HEN|SAC|HPD|LTN|LUT|LEA|HLN|FLT|WIX|BDM
R00098,SP000144,GLT,EDB,14,GLT|CDD|LCG|COW|DFL|DFE|ROS|INK|NQU|DAM|EGY|SGL|HYM|EDB
R00099,SP000146,GRK,GLC,16,GRK|FTM|GKW|GKC|CDY|BGS|PTG|WDL|LGB|BPT|PYJ|PYG|HLW|HLE|CDO|GLC
R00100,SP000147,GLC,LIV,19,GLC|CML|WSH|LOC|XGS|CAR|PNR|XIT|OXN|XOA|LAN|PRE|XOU|WGN|SNH|HUY|ROB|EDG|LIV
R00101,SP003398,CLH,MCV,14,CLH|WHE|LHO|RGW|BBN|DWN|ENT|BMC|HID|BON|MSS|SLD|SFD|MCV
R00102,SP003562,EDB,EUS,57,EDB|HYM|SLA|LOC|XGS|CAR|PNR|XIT|OXN|XOA|LAN|PRE|XOU|WGN|WBQ|XYJ|ACB|WSF|CRE|STA|XCO|PKG|XOI|XBJ|XIM|WVH|NUN|CSY|TIP|DDP|SAD|XGJ|SMR|XOS|BHM|XOZ|SCF|LEH|MGN|BHI|BKW|THL|CNL|COV|RUG|XWZ|XHN|MKC|BLY|XOD|TRI|XOE|WFJ|HRW|WMB|XWI|EUS
R00103,SP000150,IBS,ULP,2,IBS|ULP
R00104,SP002268,WSL,EUS,32,WSL|BSC|TAB|HSD|XRA|XOS|BHM|XOZ|SCF|LEH|MGN|BHI|HIA|BKW|THL|CNL|COV|RUG|LBK|NMP|XHN|WOL|MKC|BLY|XOD|TRI|XOE|WFJ|HRW|WMB|XWI|EUS
R00105,SP000176,DID,PAD,17,DID|CHO|GOR|PAN|TLH|RDG|TWY|MAI|TAP|BNM|SLO|HAY|STL|HAN|EAL|AML|PAD
R00106,SP000155,HLC,EDB,36,HLC|CGD|CDR|DLR|DBC|DBE|DMR|SIN|DMY|DMC|WES|ANL|HYN|PTK|CHC|GQL|HST|BLG|CAY|SLS|GAR|EST|BAI|CBS|COA|ADR|DRU|CAC|BKR|ARM|BHG|LSN|UHA|EDP|HYM|EDB
R00107,SP000156,GLC,GLC,12,GLC|PLW|MAX|SHL|PWE|LGS|CCT|MFL|COI|QPK|PLE|GLC
R00108,SP000157,LAN,MIA,10,LAN|PRE|XOU|WGN|ECC|DGT|MCO|MAN|HDG|MIA
R00109,SP000158,NNG,PBO,10,NNG|CLM|SWD|HKM|LCN|MGM|RKT|SLR|SPA|PBO
R00110,SP000159,BBN,BPN,11,BBN|MLH|CYT|PLS|BMB|XLS|LOH|PRE|KKM|PFY|BPN
R00111,SP000160,SHF,LDS,13,SHF|MHS|RMC|SWN|BTD|GOE|THC|MRP|FZW|SNA|WKF|OUT|LDS
R00112,SP004264,OXN,MIA,14,OXN|XOA|LAN|PRE|XOU|CRL|XLK|BON|SLD|DGT|MCO|MAN|HDG|MIA
R00113,SP003405,PBO,DON,9,PBO|SPA|SLR|RKT|MGM|LCN|SXY|GBL|DON
R00114,SP004044,GLC,EUS,57,GLC|MTH|SDM|LOC|XGS|CAR|PNR|XIT|OXN|XOA|LAN|PRE|XOU|EBA|WGN|WBQ|XYJ|ACB|WSF|CRE|STA|PKG|XBJ|WVH|CSY|TIP|DDP|SAD|SGB|XGJ|SMR|XOS|BHM|XOZ|SCF|LEH|MGN|BHI|HIA|BKW|THL|CNL|COV|RUG|XWZ|XHN|WOL|MKC|BLY|XOD|TRI|XOE|WFJ|HRW|WMB|XWI|EUS
R00115,SP000164,SAV,WOS,36,SAV|STY|WMC|WWW|HNL|DZY|WDE|TLK|EWD|WYT|WTE|SRL|YRD|HLG|SRI|TYS|XOH|SMA|BMO|BSW|JEQ|THW|SGB|SMW|LGG|ROW|OHL|CRA|LYE|SBJ|HAG|BKD|KID|HBY|DTW|WOS
R00116,SP000165,GLC,EKL,10,GLC|CMY|PWW|THB|GFN|CKS|BUS|THT|HMY|EKL
R00117,SP000166,LCN,PBO,6,LCN|MGM|RKT|SLR|SPA|PBO
R00118,SP000167,EKL,GLC,10,EKL|HMY|THT|BUS|CKS|GFN|THB|PWW|CMY|GLC
R00119,SP004106,BPN,YRK,19,BPN|PFY|KKM|PRE|XLS|BBN|ACR|BYM|HBD|HFX|BDI|NPD|LDS|CRG|GRF|EGF|MIK|CHF|YRK
R00120,SP000171,EKL,GLC,9,EKL|HMY|BUS|CKS|GFN|THB|PWW|CMY|GLC
R00121,SP000197,YRK,BPN,19,YRK|CHF|MIK|GRF|CRG|LDS|NPD|BDI|HFX|SOW|HBD|BYM|ACR|BBN|XLS|PRE|KKM|PFY|BPN
R00122,SP003107,ORP,CST,13,ORP|PET|XPE|CIT|ESD|GRP|HGR|XPY|LEW|SAJ|NWX|XKE|CST
R00123,SP000888,LEV,EDB,14,LEV|CBX|KDY|KGH|BTS|AUR|DAG|INK|NQU|DAM|EGY|SGL|HYM|EDB
R00124,SP000179,BAN,PAD,11,BAN|XAN|HYD|OXF|GOR|RDG|TWY|MAI|SLO|STL|PAD
R00125,SP001031,CST,RAM,33,CST|XKE|NWX|SAJ|XPY|HGR|GRP|CIT|XPE|ORP|SEV|TON|PDW|MRN|SPU|HCN|PLC|AFK|WHA|SDG|XSI|FKW|FKC|FKE|DVP|XUK|MTM|WAM|DEA|SDW|XMF|THP|RAM
R00126,SP000347,SAV,WOF,29,SAV|STY|LPW|DDG|WMR|SOL|OLT|ACG|TYS|XOH|SMA|BMO|BSW|JEQ|THW|SGB|SMW|LGG|ROW|OHL|CRA|LYE|SBJ|HAG|BKD|KID|HBY|DTW|WOF
R00127,SP000182,NTN,GLC,11,NTN|KKH|BUI|CFF|KGP|LGS|PWE|SHL|MAX|PLW|GLC
R00128,SP000183,LET,KGX,15,LET|HIT|SVG|KBW|XGN|WLW|WGC|HAT|PBR|NBA|AAP|HGY|FPK|XKB|KGX
R00129,SP002757,KGX,CBG,23,KGX|XKB|FPK|AAP|NBA|PBR|HAT|WGC|WLW|XGN|KBW|SVG|HIT|LET|BDK|AWM|RYS|MEL|STH|FXN|XSP|CMS|CBG
R00130,SP000189,MIA,EDB,22,MIA|HDG|MAN|MCO|DGT|SLD|BON|XLK|CRL|XOU|PRE|LAN|XOA|OXN|XIT|PNR|CAR|XGS|LOC|SLA|HYM|EDB
R00131,SP000191,MKC,EUS,17,MKC|BLY|LBZ|XOD|CED|TRI|BKM|XOE|HML|APS|KGL|WFJ|BSH|HRW|WMB|XWI|EUS
R00132,SP000193,XCN,EDB,2,XCN|EDB
R00133,SP000200,NEI,GLC,11,NEI|PTT|WCR|WLM|MUI|CCT|MFL|COI|QPK|PLE|GLC
R00134,SP000201,HWY,MYB,12,HWY|BCF|SRG|GER|DNM|WRU|SRU|NLT|SDH|WCX|XNJ|MYB
R00135,SP002685,GLC,GLC,12,GLC|PLE|QPK|COI|MFL|CCT|LGS|PWE|SHL|MAX|PLW|GLC
R00136,SP000203,XCN,HNW,7,XCN|XJB|SHS|MTH|AIR|HNC|HNW
R00137,SP001898,SRY,FST,20,SRY|TPB|SOE|SOC|WCF|CHW|LES|BEF|PSE|SFO|ETL|TIL|GRY|PFL|RNM|DDK|BKG|WEH|LHS|FST
R00138,SP000207,HBD,YRK,12,HBD|MYT|SOW|HFX|BDI|NPD|LDS|CRG|GRF|MIK|CHF|YRK
R00139,SP003718,EDB,ABD,18,EDB|HYM|INK|BTS|KDY|MNC|LDY|CUP|LEU|DEE|BYF|CAN|ARB|MTS|LAU|STN|PLN|ABD
R00140,SP000210,BDC,BDC,1,BDC
R00141,SP000211,AYW,BNG,7,AYW|MCN|DOG|TRW|PGR|CFS|BNG
R00142,SP000251,MIA,CKL,35,MIA|HDG|GTY|MAN|MCO|DGT|ECC|WGN|XOU|PRE|LAN|XOA|CNF|SVR|ARN|GOS|KBK|CAK|ULV|DLT|ROO|BIF|ASK|KBF|FOX|GNR|MLM|SIC|BOC|RAV|DRI|SSC|SEL|SBS|CKL
R00143,SP000214,DLW,DEE,4,DLW|PIT|DEE|DEE
R00144,SP000704,SRA,BIS,16,SRA|XTA|LEB|XMI|TOM|NUM|BMD|ENL|WLC|CHN|BXB|RYN|HWN|HWM|SAW|BIS
R00145,SP004293,GLQ,ABD,19,GLQ|BBG|LNZ|CRO|LBT|STG|DBL|GLE|PTH|ING|DEE|BYF|CAN|ARB|MTS|LAU|STN|PLN|ABD
R00146,SP000217,GER,MYB,9,GER|WRU|SRU|NLT|SDH|SUD|WCX|XNJ|MYB
R00147,SP000218,DOG,BNG,5,DOG|TRW|PGR|CFS|BNG
R00148,SP000219,KYL,KYL,1,KYL
R00149,SP000220,OBN,OBN,5,OBN|CLO|TEE|CLO|OBN
R00150,SP000221,WFH,EUS,15,WFH|CPK|HTE|HDL|KNT|SOK|NWB|SBP|HDN|WJL|KNL|QPW|KBN|SOH|EUS
R00151,SP003747,SSD,LST,14,SSD|SST|BIS|HWN|BXB|CHN|BMD|TOM|XMI|HAC|LOF|CBH|BET|LST
R00152,SP000223,WNC,SLO,2,WNC|SLO
R00153,SP000225,KYL,CAG,2,KYL|CAG
R00154,SP000228,PNZ,SIV,5,PNZ|SER|LEL|CBB|SIV
R00155,SP000230,HWY,MYB,8,HWY|BCF|GER|WRU|SRU|WCX|XNJ|MYB
R00156,SP002465,NOT,STP,28,NOT|BEE|ATB|XTR|XTG|EMD|LBO|LEI|MHR|KET|WEL|BDM|FLT|HLN|LEA|LUT|LTN|HPD|SAC|RDT|ELS|MIL|HEN|BCZ|CRI|WHP|KTN|STP
R00157,SP000233,SIV,SER,4,SIV|CBB|LEL|SER
R00158,SP000240,MYB,BSW,26,MYB|XNJ|WCX|NLT|SRU|WRU|GER|HWY|SDR|PRR|HDM|XJV|BCS|XAN|BAN|XFC|LMS|WRW|WRP|HTN|DDG|SOL|TYS|XOH|BMO|BSW
R00159,SP000236,CFS,AYW,6,CFS|PGR|TRW|DOG|MCN|AYW
