station_id,route_id,station_name,crs,operator,route,county,region,latitude,longitude,is_interchange,major_interchange,is_terminus,branch_junction,is_junction,canonical_time_to_london,time_band,distance_from_..._km,distance_band,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km
CM_0037,CM_R0037,Bicester North,BCS,Chiltern Railways,Oxford Branch,Buckinghamshire,,51.903401,-1.150517,,,,,,,,,,,,,,,,,,,,,
CM_0038,CM_R0038,Oxford Parkway,OXP,Chiltern Railways,Oxford Branch,Oxfordshire,,51.8042,-1.2745,,,,,,,,,,,,,,,,,,,,,
CM_0039,CM_R0039,Oxford,OXF,Chiltern Railways,Oxford Branch,Northamptonshire,,51.753549,-1.270037,,,,,,,,,,,,,,,,,,,,,
CM_0040,CM_R0040,Islip,ISP,Chiltern Railways,Oxford Branch,Oxfordshire,,51.82571,-1.238185,,,,,,,,,,,,,,,,,,,,,
CM_0041,CM_R0041,Bearley,BER,Chiltern Railways,Stratford Branch,Warwickshire,,52.244252,-1.750259,,,,,,,,,,,,,,,,,,,,,
CM_0042,CM_R0042,Stratford-upon-Avon Parkway,STY,Chiltern Railways,Stratford Branch,Warwickshire,,52.20642,-1.7307,,,,,,,,,,,,,,,,,,,,,
CM_0043,CM_R0043,Stratford-upon-Avon,SAV,Chiltern Railways,Stratford Branch,Warwickshire,,52.19376,-1.716148,,,,,,,,,,,,,,,,,,,,,
CM_0044,CM_R0044,Lapworth,LPW,Chiltern Railways,Stratford Branch,Warwickshire,,52.341232,-1.72549,,,,,,,,,,,,,,,,,,,,,
CM_0045,CM_R0045,Birmingham New Street,BHM,West Midlands Railway,Cross-City,West Midlands,,52.478153,-1.898375,,,,,,,,,,,,,,,,,,,,,
CM_0046,CM_R0046,Five Ways,FWY,West Midlands Railway,Cross-City,West Midlands,,52.470078,-1.913116,,,,,,,,,,,,,,,,,,,,,
CM_0047,CM_R0047,University,UNI,West Midlands Railway,Cross-City,West Midlands,,52.451218,-1.936691,,,,,,,,,,,,,,,,,,,,,
CM_0048,CM_R0048,Selly Oak,SLY,West Midlands Railway,Cross-City,West Midlands,,52.441322,-1.936708,,,,,,,,,,,,,,,,,,,,,
CM_0049,CM_R0049,Bournville,BRV,West Midlands Railway,Cross-City,West Midlands,,52.426937,-1.926434,,,,,,,,,,,,,,,,,,,,,
CM_0050,CM_R0050,King's Norton,KNN,West Midlands Railway,Cross-City,West Midlands,,52.413456,-1.933801,,,,,,,,,,,,,,,,,,,,,
CM_0051,CM_R0051,Northfield,NFD,West Midlands Railway,Cross-City,West Midlands,,52.408073,-1.96469,,,,,,,,,,,,,,,,,,,,,
CM_0052,CM_R0052,Longbridge,LOB,West Midlands Railway,Cross-City,West Midlands,,52.396385,-1.980861,,,,,,,,,,,,,,,,,,,,,
CM_0053,CM_R0053,Barnt Green,BTG,West Midlands Railway,Cross-City,Worcestershire,,52.361328,-1.994098,,,,,,,,,,,,,,,,,,,,,
CM_0054,CM_R0054,Alvechurch,ALV,West Midlands Railway,Cross-City,Worcestershire,,52.346607,-1.967854,,,,,,,,,,,,,,,,,,,,,
CM_0055,CM_R0055,Redditch,RDC,West Midlands Railway,Cross-City,Worcestershire,,52.306337,-1.945248,,,,,,,,,,,,,,,,,,,,,
CM_0056,CM_R0056,Bromsgrove,BMV,West Midlands Railway,Cross-City,Worcestershire,,52.322662,-2.048379,,,,,,,,,,,,,,,,,,,,,
CM_0057,CM_R0057,Aston,AST,West Midlands Railway,Cross-City,West Midlands,,52.505104,-1.871788,,,,,,,,,,,,,,,,,,,,,
CM_0058,CM_R0058,Gravelly Hill,GVH,West Midlands Railway,Cross-City,West Midlands,,52.514969,-1.852612,,,,,,,,,,,,,,,,,,,,,
CM_0059,CM_R0059,Erdington,ERD,West Midlands Railway,Cross-City,West Midlands,,52.528435,-1.839297,,,,,,,,,,,,,,,,,,,,,
CM_0060,CM_R0060,Chester Road,CRD,West Midlands Railway,Cross-City,West Midlands,,52.535575,-1.832582,,,,,,,,,,,,,,,,,,,,,
CM_0061,CM_R0061,Wylde Green,WYL,West Midlands Railway,Cross-City,West Midlands,,52.545599,-1.831461,,,,,,,,,,,,,,,,,,,,,
CM_0062,CM_R0062,Sutton Coldfield,SUT,West Midlands Railway,Cross-City,West Midlands,,52.565269,-1.824404,,,,,,,,,,,,,,,,,,,,,
CM_0063,CM_R0063,Four Oaks,FOK,West Midlands Railway,Cross-City,West Midlands,,52.579662,-1.8273,,,,,,,,,,,,,,,,,,,,,
CM_0064,CM_R0064,Blake Street,BKT,West Midlands Railway,Cross-City,Staffordshire,,52.605054,-1.844888,,,,,,,,,,,,,,,,,,,,,
CM_0065,CM_R0065,Shenstone,SEN,West Midlands Railway,Cross-City,Staffordshire,,52.638985,-1.844528,,,,,,,,,,,,,,,,,,,,,
CM_0066,CM_R0066,Lichfield City,LIC,West Midlands Railway,Cross-City,Staffordshire,,52.680347,-1.825431,,,,,,,,,,,,,,,,,,,,,
CM_0067,CM_R0067,Lichfield Trent Valley,LTV,West Midlands Railway,Cross-City,Staffordshire,,52.6869,-1.800014,,,,,,,,,,,,,,,,,,,,,
CM_0068,CM_R0068,Smethwick Galton Bridge,SGB,West Midlands Railway,Wolverhampton,West Midlands,,52.501826,-1.980632,,,,,,,,,,,,,,,,,,,,,
CM_0069,CM_R0069,Sandwell & Dudley,SAD,West Midlands Railway,Wolverhampton,West Midlands,,52.508431,-2.011281,,,,,,,,,,,,,,,,,,,,,
CM_0070,CM_R0070,Dudley Port,DDP,West Midlands Railway,Wolverhampton,West Midlands,,52.524517,-2.049401,,,,,,,,,,,,,,,,,,,,,
CM_0071,CM_R0071,Tipton,TIP,West Midlands Railway,Wolverhampton,West Midlands,,52.53039,-2.065499,,,,,,,,,,,,,,,,,,,,,
CM_0072,CM_R0072,Coseley,CSY,West Midlands Railway,Wolverhampton,West Midlands,,52.545738,-2.086051,,,,,,,,,,,,,,,,,,,,,
CM_0073,CM_R0073,Wolverhampton,WVH,West Midlands Railway,Wolverhampton,West Midlands,,52.587818,-2.119529,,,,,,,,,,,,,,,,,,,,,
CM_0074,CM_R0074,Adderley Park,ADD,West Midlands Railway,Coventry,West Midlands,,52.483505,-1.854184,,,,,,,,,,,,,,,,,,,,,
CM_0075,CM_R0075,Stechford,SCF,West Midlands Railway,Coventry,West Midlands,,52.485241,-1.810006,,,,,,,,,,,,,,,,,,,,,
CM_0076,CM_R0076,Lea Hall,LEH,West Midlands Railway,Coventry,West Midlands,,52.480709,-1.786457,,,,,,,,,,,,,,,,,,,,,
CM_0077,CM_R0077,Marston Green,MGN,West Midlands Railway,Coventry,West Midlands,,52.467159,-1.755616,,,,,,,,,,,,,,,,,,,,,
CM_0078,CM_R0078,Birmingham International,BHI,West Midlands Railway,Coventry,West Midlands,,52.450673,-1.725149,,,,,,,,,,,,,,,,,,,,,
CM_0079,CM_R0079,Hampton-in-Arden,HIA,West Midlands Railway,Coventry,West Midlands,,52.428375,-1.699934,,,,,,,,,,,,,,,,,,,,,
CM_0080,CM_R0080,Berkswell,BKW,West Midlands Railway,Coventry,West Midlands,,52.395851,-1.642845,,,,,,,,,,,,,,,,,,,,,
CM_0081,CM_R0081,Tile Hill,THL,West Midlands Railway,Coventry,West Midlands,,52.394798,-1.594357,,,,,,,,,,,,,,,,,,,,,
CM_0082,CM_R0082,Canley,CNL,West Midlands Railway,Coventry,West Midlands,,52.399418,-1.547232,,,,,,,,,,,,,,,,,,,,,
CM_0083,CM_R0083,Coventry,COV,West Midlands Railway,Coventry,West Midlands,,52.400787,-1.513466,,,,,,,,,,,,,,,,,,,,,
CM_0084,CM_R0084,Duddeston,DUD,West Midlands Railway,Walsall,West Midlands,,52.488018,-1.871842,,,,,,,,,,,,,,,,,,,,,
CM_0085,CM_R0085,Witton,WTT,West Midlands Railway,Walsall,West Midlands,,52.51141,-1.883566,,,,,,,,,,,,,,,,,,,,,
CM_0086,CM_R0086,Perry Barr,PRY,West Midlands Railway,Walsall,West Midlands,,52.516361,-1.90196,,,,,,,,,,,,,,,,,,,,,
CM_0087,CM_R0087,Hamstead,HSD,West Midlands Railway,Walsall,West Midlands,,52.530718,-1.92838,,,,,,,,,,,,,,,,,,,,,
CM_0088,CM_R0088,Tame Bridge Parkway,TAB,West Midlands Railway,Walsall,West Midlands,,52.551022,-1.974899,,,,,,,,,,,,,,,,,,,,,
CM_0089,CM_R0089,Bescot Stadium,BSC,West Midlands Railway,Walsall,West Midlands,,52.562702,-1.991116,,,,,,,,,,,,,,,,,,,,,
CM_0090,CM_R0090,Walsall,WSL,West Midlands Railway,Walsall,West Midlands,,52.584282,-1.98521,,,,,,,,,,,,,,,,,,,,,
CM_0091,CM_R0091,Bloxwich,BLX,West Midlands Railway,Walsall,West Midlands,,52.61853,-2.011783,,,,,,,,,,,,,,,,,,,,,
CM_0092,CM_R0092,Bloxwich North,BWN,West Midlands Railway,Walsall,West Midlands,,52.625637,-2.019173,,,,,,,,,,,,,,,,,,,,,
CM_0093,CM_R0093,Landywood,LAW,West Midlands Railway,Cannock,Staffordshire,,52.657101,-2.020659,,,,,,,,,,,,,,,,,,,,,
CM_0094,CM_R0094,Cannock,CAO,West Midlands Railway,Cannock,Staffordshire,,52.686768,-2.022158,,,,,,,,,,,,,,,,,,,,,
CM_0095,CM_R0095,Hednesford,HNF,West Midlands Railway,Cannock,Staffordshire,,52.709922,-2.00199,,,,,,,,,,,,,,,,,,,,,
CM_0096,CM_R0096,Rugeley Town,RGT,West Midlands Railway,Cannock,Staffordshire,,52.754672,-1.936963,,,,,,,,,,,,,,,,,,,,,
CM_0097,CM_R0097,Rugeley Trent Valley,RGL,West Midlands Railway,Cannock,Staffordshire,,52.769451,-1.930309,,,,,,,,,,,,,,,,,,,,,
CM_0098,CM_R0098,Wellington (Shropshire),WLN,West Midlands Railway,Shrewsbury,Shropshire,,52.700928,-2.516438,,,,,,,,,,,,,,,,,,,,,
CM_0099,CM_R0099,Telford Central,TFC,West Midlands Railway,Shrewsbury,Shropshire,,52.678764,-2.440744,,,,,,,,,,,,,,,,,,,,,
CM_0100,CM_R0100,Oakengates,OKN,West Midlands Railway,Shrewsbury,Shropshire,,52.693104,-2.451245,,,,,,,,,,,,,,,,,,,,,
CM_0101,CM_R0101,Shifnal,SFN,West Midlands Railway,Shrewsbury,Shropshire,,52.666405,-2.371116,,,,,,,,,,,,,,,,,,,,,
CM_0102,CM_R0102,Cosford,COS,West Midlands Railway,Shrewsbury,Shropshire,,52.645031,-2.301479,,,,,,,,,,,,,,,,,,,,,
CM_0103,CM_R0103,Albrighton,ALB,West Midlands Railway,Shrewsbury,Shropshire,,52.637917,-2.268913,,,,,,,,,,,,,,,,,,,,,
CM_0104,CM_R0104,Shrewsbury,SHR,West Midlands Railway,Shrewsbury,Shropshire,,52.711369,-2.74897,,,,,,,,,,,,,,,,,,,,,
CM_0105,CM_R0105,Kidderminster,KID,West Midlands Railway,Hereford,Worcestershire,,52.384457,-2.239458,,,,,,,,,,,,,,,,,,,,,
CM_0106,CM_R0106,Hartlebury,HBY,West Midlands Railway,Hereford,Worcestershire,,52.335049,-2.22158,,,,,,,,,,,,,,,,,,,,,
CM_0107,CM_R0107,Droitwich Spa,DTW,West Midlands Railway,Hereford,Worcestershire,,52.26862,-2.158239,,,,,,,,,,,,,,,,,,,,,
CM_0108,CM_R0108,Worcester Foregate Street,WOF,West Midlands Railway,Hereford,Worcestershire,,52.194801,-2.220885,,,,,,,,,,,,,,,,,,,,,
CM_0109,CM_R0109,Worcester Shrub Hill,WOS,West Midlands Railway,Hereford,Worcestershire,,52.194817,-2.210642,,,,,,,,,,,,,,,,,,,,,
CM_0110,CM_R0110,Malvern Link,MVL,West Midlands Railway,Hereford,Worcestershire,,52.12534,-2.31987,,,,,,,,,,,,,,,,,,,,,
CM_0111,CM_R0111,Great Malvern,GMV,West Midlands Railway,Hereford,Worcestershire,,52.109165,-2.318289,,,,,,,,,,,,,,,,,,,,,
CM_0112,CM_R0112,Colwall,CWL,West Midlands Railway,Hereford,Herefordshire,,52.080284,-2.357489,,,,,,,,,,,,,,,,,,,,,
CM_0113,CM_R0113,Ledbury,LED,West Midlands Railway,Hereford,Herefordshire,,52.044991,-2.425728,,,,,,,,,,,,,,,,,,,,,
CM_0114,CM_R0114,Hereford,HFD,West Midlands Railway,Hereford,Herefordshire,,52.060715,-2.708854,,,,,,,,,,,,,,,,,,,,,
CM_0115,CM_R0115,Jewellery Quarter,JEQ,West Midlands Railway,Snow Hill,West Midlands,,52.489514,-1.913522,,,,,,,,,,,,,,,,,,,,,
CM_0116,CM_R0116,The Hawthorns,THW,West Midlands Railway,Snow Hill,West Midlands,,52.505165,-1.96313,,,,,,,,,,,,,,,,,,,,,
CM_0117,CM_R0117,Langley Green,LGG,West Midlands Railway,Snow Hill,West Midlands,,52.494385,-2.005857,,,,,,,,,,,,,,,,,,,,,
CM_0118,CM_R0118,Rowley Regis,ROW,West Midlands Railway,Snow Hill,West Midlands,,52.477299,-2.030885,,,,,,,,,,,,,,,,,,,,,
CM_0119,CM_R0119,Old Hill,OHL,West Midlands Railway,Snow Hill,West Midlands,,52.470993,-2.055913,,,,,,,,,,,,,,,,,,,,,
CM_0120,CM_R0120,Cradley Heath,CRA,West Midlands Railway,Snow Hill,West Midlands,,52.469177,-2.08976,,,,,,,,,,,,,,,,,,,,,
CM_0121,CM_R0121,Lye,LYE,West Midlands Railway,Snow Hill,West Midlands,,52.459267,-2.116233,,,,,,,,,,,,,,,,,,,,,
CM_0122,CM_R0122,Stourbridge Junction,SBJ,West Midlands Railway,Snow Hill,West Midlands,,52.447563,-2.133857,,,,,,,,,,,,,,,,,,,,,
CM_0123,CM_R0123,Stourbridge Town,SBT,West Midlands Railway,Branch,West Midlands,,52.456539,-2.142716,,,,,,,,,,,,,,,,,,,,,
CM_0124,CM_R0124,Hagley,HAG,West Midlands Railway,Worcester,Worcestershire,,52.422375,-2.147018,,,,,,,,,,,,,,,,,,,,,
CM_0125,CM_R0125,Blakedown,BKD,West Midlands Railway,Worcester,Worcestershire,,52.406147,-2.176365,,,,,,,,,,,,,,,,,,,,,
CM_0126,CM_R0126,Nuneaton,NUN,West Midlands Railway,Coventry,Warwickshire,,52.526436,-1.463431,,,,,,,,,,,,,,,,,,,,,
CM_0127,CM_R0127,Bedworth,BEH,West Midlands Railway,Coventry,Warwickshire,,52.479133,-1.46749,,,,,,,,,,,,,,,,,,,,,
CM_0128,CM_R0128,Bermuda Park,BEP,West Midlands Railway,Coventry,Warwickshire,,52.5029,-1.4726,,,,,,,,,,,,,,,,,,,,,
