station_id,station_name,english_name,crs,operator,route,region,latitude,longitude,is_interchange,route_count,is_coastal,distance_to_coast_km,welsh_name,terminus_weekday,terminus_sat,terminus_sun,terminus_max,canonical_hub,canonical_time_to_hub,canonical_time_n,canonical_time_status,hub_reassigned_from,interchange_via,interchange_via_london,quiz_id,direction_count,time_to_glasgow_central,time_to_victoria,time_to_charing_cross,time_to_euston,time_to_liverpool_street,time_to_stratford
NR_0001,Accrington,,ACR,Northern,['East Lancashire Line'],Hyndburn,53.7532,-2.37001,False,1,False,37.05,,0,0,0,0,Manchester (Picc/Vic),57.0,36.0,direct_match,,,,manchester_northern,2,,,,,,
SW_0005,Ascot (Berks),,ACT,South Western,['Waterloo to Reading Line'],Windsor and Maidenhead,51.40624634,-0.675830536,True,1,False,63.77,,145,107,85,145,London,89.0,89.0,direct_match,,,,south_western,3,,,,,,
TW_0002,Abercynon,,ACY,TfW,"['Aberdare Line', 'Merthyr Line', 'Treherbert Line']",Rhondda Cynon Taf,51.644706,-3.327000754,True,3,False,19.89,Abercynon,0,0,0,0,Cardiff Central,42.0,206.0,direct_match,,,,gwr_wales_corridor,2,,,,,,
NR_0003,Adlington (Cheshire),,ADC,Northern,['Stafford to Manchester Line'],Cheshire East,53.31957,-2.13356,False,1,False,60.68,,0,0,0,0,Manchester (Picc/Vic),26.0,38.0,direct_match,,,,manchester_northern,2,,,,,,
CM_0074,Adderley Park,,ADD,West Midlands Railway,['Chase Line'],Birmingham,52.483505,-1.854184,False,1,False,86.59,,0,0,0,0,Birmingham New Street,4.0,40.0,direct_match,,,,chiltern_wmr,2,,,,,,
NR_0015,Ardwick,,ADK,Northern,['Glossop Line'],Manchester,53.4713637,-2.21388356,False,1,False,53.49,,0,0,0,0,Manchester (Picc/Vic),4.0,4.0,direct_match,,,,manchester_northern,2,,,,,,
NR_0004,Adlington (Lancashire),,ADL,Northern,['Furness Line'],Chorley,53.6129455,-2.603061143,False,1,False,24.12,,0,0,0,0,Manchester (Picc/Vic),36.0,48.0,direct_match,,,,manchester_northern,2,,,,,,
SC_0022,Ardrossan Town,,ADN,Scotrail,['Ardrossan Branch'],North Ayrshire,55.639313,-4.812212,False,1,True,0.1,,2,0,0,2,Glasgow (Central/Queen St),50.0,36.0,direct_match,,,,glasgow_scotrail,2,,,,,,
SC_0008,Airdrie,,ADR,Scotrail,"['Argyle Line', 'North Clyde Electrics']",North Lanarkshire,55.864029,-3.982952,True,2,False,24.51,,70,93,16,93,Glasgow (Central/Queen St),26.0,181.0,direct_match,,,,glasgow_scotrail,2,,,,,,
SC_0020,Ardrossan Harbour,,ADS,Scotrail,['Ardrossan Branch'],North Ayrshire,55.640854,-4.823461,False,1,True,0.05,,36,49,14,49,Glasgow (Central/Queen St),53.0,36.0,direct_match,,,,glasgow_scotrail,1,,,,,,
SW_0004,Andover,,ADV,South Western,['South West Main Line'],Test Valley,51.21154584,-1.49223998,False,1,False,31.69,,3,22,37,37,London,81.0,81.0,direct_match,,,,south_western,2,,,,,,
SC_0006,Addiewell,,ADW,Scotrail,['Shotts Line'],West Lothian,55.843449,-3.60655,False,1,False,18.29,,0,0,0,0,Edinburgh Waverley,38.0,43.0,direct_match,,,,edinburgh_scotrail,2,33.0,,,,,
SW_0008,Ashford (Surrey),,AFS,South Western,"['Hounslow Loop', 'Windsor Line']",Spelthorne,51.43651024,-0.468062256,True,2,False,59.96,,0,0,0,0,London,203.0,203.0,direct_match,,,,south_western,2,,,,,,
NR_0011,Ansdell & Fairhaven,,AFV,Northern,"['Fylde Line', 'South Fylde Line']",Fylde,53.74157235,-2.993056487,False,1,True,0.47,,0,0,0,0,Liverpool (Lime St/Central),98.0,34.0,interchange_match_bugfixed,,KIRKHAM,,liverpool_merseyside,2,,,,,,
TW_0007,Abergele & Pensarn,,AGL,TfW,['North Wales Coast Line'],Conwy,53.2935,-3.58261,False,1,True,0.42,Abergele a Phensarn,0,0,0,0,Wrexham/Chester,40.0,174.0,direct_match,,,,shrewsbury_wrexham_chester,2,,,,,,
SC_0023,Argyle Street,,AGS,Scotrail,['Argyle Line'],Glasgow City,55.855938,-4.244574,False,1,False,18.65,,0,0,0,0,Glasgow (Central/Queen St),1.0,228.0,direct_match,,,,glasgow_scotrail,1,,,,,,
SO_0001,Aldrington,,AGT,Southern,['Coastway West'],Brighton and Hove,50.83636472,-0.181209698,False,1,True,1.34,,0,0,0,0,London,86.0,86.0,interchange_match,,,PSLDAWH,thameslink_southern,2,,,,,,
TW_0006,Abergavenny,,AGV,TfW,"['Central Wales Line', 'Heart of Wales Line', 'Marches Line', 'North & West Line', 'North Wales Coast Line']",Monmouthshire,51.81669124,-3.009664242,True,4,False,29.83,Y Fenni,15,0,0,15,Cardiff Central,42.0,102.0,direct_match,,,,gwr_wales_corridor,2,,,,,,
SO_0006,Ashtead,,AHD,Southern,['Mole Valley Line'],Mole Valley,51.31788158,-0.308147338,False,1,False,50.42,,0,0,0,0,London,70.0,70.0,direct_match,,,,thameslink_southern,2,,,,,,
NR_0022,Ashton-under-Lyne,,AHN,Northern,['Huddersfield Line'],Tameside,53.49128474,-2.093404009,False,1,False,60.47,,0,0,0,0,Manchester (Picc/Vic),10.0,38.0,direct_match,,,,manchester_northern,0,,,,,,
SO_0007,Ashurst (Kent),,AHS,Southern,['Uckfield Branch'],Tunbridge Wells,51.12865582,0.152661963,False,1,False,37.73,Ashurst,0,0,0,0,London,38.0,38.0,direct_match,,,,thameslink_southern,2,,,,,,
SW_0002,Aldershot,,AHT,South Western,['Alton Line'],Rushmoor,51.24641674,-0.759860484,True,1,False,45.72,,143,141,99,143,London,95.0,95.0,direct_match,,,,south_western,3,,,,,,
SW_0007,Ash Vale,,AHV,South Western,['Alton Line'],Guildford,51.27224595,-0.72164797,True,1,False,49.04,,0,0,0,0,London,95.0,95.0,direct_match,,,,south_western,3,,,,,,
ME_0001,Aigburth,,AIG,Merseyrail,['Northern Line'],Liverpool,53.3645833,-2.927160737,False,1,False,11.19,,0,0,0,0,Liverpool (Lime St/Central),8.0,134.0,direct_match_bugfixed,,,,liverpool_merseyside,2,,,,,,
ME_0003,Aintree,,AIN,Merseyrail,['Northern Line'],Sefton,53.47400907,-2.956664741,False,1,False,4.82,,0,0,32,32,Liverpool (Lime St/Central),18.0,114.0,direct_match_bugfixed,,,,liverpool_merseyside,2,,,,,,
SC_0007,Airbles,,AIR,Scotrail,['Lanark Line'],North Lanarkshire,55.782504,-3.994447,False,1,False,31.8,,0,0,0,0,Glasgow (Central/Queen St),34.0,73.0,direct_match,,,,glasgow_scotrail,2,,,,,,
CM_0103,Albrighton,,ALB,West Midlands Railway,['Shrewsbury to Wolverhampton Line'],Shropshire,52.637917,-2.268913,False,1,False,87.0,,0,0,0,0,Birmingham New Street,46.0,36.0,direct_match,,,,chiltern_wmr,2,,,,,,
NR_0006,Alderley Edge,,ALD,Northern,['Manchester to Crewe Line'],Cheshire East,53.30379521,-2.236800428,False,1,False,54.55,,39,33,0,39,Manchester (Picc/Vic),26.0,214.0,direct_match,,,,manchester_northern,2,,,,,,
EM_0001,Alfreton,,ALF,East_Midlands,['Erewash Valley'],Amber Valley,53.10045706,-1.369688632,False,1,False,80.88,,0,0,0,0,Derby,27.0,27.0,darwin_interchange,not assigned,,,east_midlands_emr,2,,,,,,
EM_0005,Aslockton,,ALK,East_Midlands,['Poacher Line'],Rushcliffe,52.95139426,-0.898543361,False,1,False,62.32,,0,0,0,0,Nottingham,19.0,19.0,darwin_interchange,not assigned,,,east_midlands_emr,2,,,,,,
NR_0008,Alnmouth,,ALM,Northern,['East Coast Main Line'],Northumberland,55.39241161,-1.636879701,False,1,True,0.91,,0,0,0,0,Newcastle,26.0,139.0,direct_match,,,,newcastle_northern,2,,,,,,
SC_0011,Alloa,,ALO,Scotrail,['Stirling to Alloa Line'],Clackmannanshire,56.1179,-3.7872,False,1,False,6.66,,78,70,27,78,Glasgow (Central/Queen St),46.0,71.0,direct_match,,,,glasgow_scotrail,1,,,,,,
NR_0009,Althorpe,,ALP,Northern,['Hull and Doncaster Branch'],North Lincolnshire,53.58528974,-0.732586396,False,1,False,13.16,,0,0,0,0,Sheffield,68.0,5.0,direct_match,,,,leeds_sheffield_northern,2,,,,,,
NR_0010,Altrincham,,ALT,Northern,['Mid-Cheshire Line'],Trafford,53.3874545,-2.347281454,False,1,False,45.19,,0,0,0,0,Manchester (Picc/Vic),28.0,36.0,direct_match,,,,manchester_northern,2,,,,,,
CM_0054,Alvechurch,,ALV,West Midlands Railway,['Cross-City'],Bromsgrove,52.346607,-1.967854,False,1,False,69.52,,0,0,0,0,Birmingham New Street,36.0,78.0,direct_match,,,,chiltern_wmr,2,,,,,,
NR_0007,Allens West,,ALW,Northern,"[""Hadrian's Wall Country Line"", 'Tees Valley Line', 'Tyne Valley Line']",Stockton-on-Tees,54.52411689,-1.36342611,True,2,False,18.0,,0,0,0,0,Newcastle,56.0,5.0,direct_match,,,,newcastle_northern,2,,,,,,
SC_0010,Alexandria,,ALX,Scotrail,['North Clyde Electrics'],West Dunbartonshire,55.98513,-4.577534,False,1,True,1.94,,0,0,0,0,Glasgow (Central/Queen St),45.0,62.0,direct_match,,,,glasgow_scotrail,2,,,,,,
EM_0003,Ambergate,,AMB,East_Midlands,"['Castle Line', 'Derwent Valley Line']",Amber Valley,53.06054078,-1.48069344,True,2,False,88.81,,0,0,6,6,Derby,12.0,12.0,darwin_interchange,not assigned,,,east_midlands_emr,2,,,,,,
TW_0009,Ammanford,,AMF,TfW,"['Central Wales Line', 'Heart of Wales Line']",Carmarthenshire,51.79597767,-3.996765792,False,1,False,10.07,Rhydaman,0,0,0,0,Swansea,53.0,18.0,direct_match,,,,gwr_wales_corridor,2,,,,,,
CM_0029,Amersham,,AMR,Chiltern Railways,['Amersham Line'],Buckinghamshire,51.67439,-0.60613,False,1,False,73.58,,0,2,3,3,London,122.0,122.0,direct_match,,,,chiltern_wmr,2,,,,,,
SO_0002,Amberley,,AMY,Southern,"['Arun Valley Line', 'Coastway', 'Coastway West']",Horsham,50.896668,-0.541989047,True,2,False,6.81,,0,0,0,0,London,67.0,67.0,direct_match,,,,thameslink_southern,2,,,,,,
EM_0004,Ancaster,,ANC,East_Midlands,['Poacher Line'],South Kesteven,52.98793249,-0.535615122,False,1,False,38.82,,0,0,0,0,Lincoln,37.0,37.0,darwin_interchange,not assigned,,,east_midlands_emr,2,,,,,,
SC_0014,Anderston,,AND,Scotrail,['Argyle Line'],Glasgow City,55.859924,-4.271969,False,1,False,16.91,,0,0,0,0,Glasgow (Central/Queen St),1.0,210.0,direct_match,,,,glasgow_scotrail,1,,,,,,
SW_0009,Ashurst New Forest,,ANF,South Western,['South West Main Line'],New Forest,50.88984033,-1.526640531,False,1,False,3.75,,0,0,0,0,London,18.0,18.0,direct_match,,,,south_western,2,,,,,,
SO_0003,Angmering,,ANG,Southern,['West Coastway'],Arun,50.8165699,-0.4893894,False,1,True,1.55,,0,58,77,77,London,70.0,70.0,direct_match,,,,thameslink_southern,2,,,,,,
SC_0016,Anniesland,,ANL,Scotrail,['Argyle Line'],Glasgow City,55.889553,-4.321684,True,1,False,12.77,,50,56,23,56,Glasgow (Central/Queen St),12.0,234.0,direct_match,,,,glasgow_scotrail,3,,,,,,
SC_0015,Annan,,ANN,Scotrail,['Glasgow South Western Line'],Dumfries and Galloway,54.98386,-3.262603,False,1,True,0.38,,0,0,0,0,Glasgow (Central/Queen St),129.0,14.0,direct_match_reassigned,Edinburgh Waverley,,,glasgow_scotrail,2,,,,,,
ME_0002,Ainsdale,,ANS,Merseyrail,['Northern Line'],Sefton,53.60183287,-3.042669326,False,1,True,1.59,,0,0,0,0,Liverpool (Lime St/Central),36.0,143.0,direct_match_bugfixed,,,,liverpool_merseyside,2,,,,,,
SW_0003,Alton,,AON,South Western,['Alton Line'],East Hampshire,51.15196497,-0.966920228,False,1,False,33.9,,117,321,148,321,London,95.0,95.0,direct_match,,,,south_western,1,,,,,,
NR_0014,Appley Bridge,,APB,Northern,"['Atherton Line', 'West Lancashire Line']",West Lancashire,53.578696,-2.719239,True,2,False,19.6,,0,0,0,0,Manchester (Picc/Vic),56.0,30.0,direct_match_reassigned,Liverpool (Lime St/Central),,,manchester_northern,2,,,,,,
NR_0013,Appleby,,APP,Northern,['Settle Carlisle Line'],Westmorland and Furness,54.58035366,-2.486692409,False,1,False,41.56,,0,3,0,3,Leeds,120.0,18.0,direct_match_reassigned,Newcastle,,,leeds_sheffield_northern,2,,,,,,
NR_0012,Apperley Bridge,,APY,Northern,['Airedale Line'],Leeds,53.84138,-1.703065,False,1,False,68.48,,0,0,0,0,Leeds,12.0,68.0,direct_match,,,,leeds_sheffield_northern,2,,,,,,
SC_0017,Arbroath,,ARB,Scotrail,['Aberdeen Line'],Angus,56.559628,-2.588928,False,1,True,0.48,,15,13,0,15,Dundee,22.0,111.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
SC_0018,Ardgay,,ARD,Scotrail,['Far North Line'],Highland,57.881119,-4.362604,False,1,True,0.11,,2,2,0,2,Inverness,92.0,20.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
SC_0024,Arisaig,,ARG,Scotrail,['West Highland Line'],Highland,56.912617,-5.839141,False,1,True,0.55,,0,0,0,0,Glasgow (Central/Queen St),306.0,7.0,direct_match_reassigned,Inverness,,,glasgow_scotrail,2,,,,,,
SC_0025,Armadale,,ARM,Scotrail,"['Argyle Line', 'North Clyde Electrics']",West Lothian,55.88639,-3.68504,True,2,False,13.34,,0,0,0,0,Edinburgh Waverley,34.0,70.0,direct_match,,,,edinburgh_scotrail,2,63.0,,,,,
NR_0017,Arnside,,ARN,Northern,"['Cumbrian Coast Line', 'Furness Line']",Westmorland and Furness,54.20210888,-2.827766101,True,2,True,0.09,,0,0,0,0,Manchester (Picc/Vic),88.0,22.0,direct_match,,,,manchester_northern,2,,,,,,
NR_0018,Arram,,ARR,Northern,"['Hull and Doncaster Branch', 'Yorkshire Coast Line']",East Riding of Yorkshire,53.88458217,-0.42685721,True,2,False,16.2,,0,0,0,0,Leeds,94.0,10.0,interchange_match,,HULL,,leeds_sheffield_northern,2,,,,,,
SC_0026,Arrochar & Tarbet,,ART,Scotrail,['West Highland Line'],Argyll and Bute,56.204021,-4.722822,False,1,True,1.34,,0,0,0,0,Glasgow (Central/Queen St),76.0,19.0,direct_match,,,,glasgow_scotrail,2,,,,,,
SO_0005,Arundel,,ARU,Southern,"['Arun Valley Line', 'Coastway', 'Coastway West']",Arun,50.84820145,-0.546171346,True,2,True,1.78,,0,35,34,35,London,68.0,68.0,direct_match,,,,thameslink_southern,3,,,,,,
SC_0021,Ardrossan South Beach,,ASB,Scotrail,['Largs Branch'],North Ayrshire,55.640495,-4.799593,True,1,True,0.19,,6,5,0,6,Glasgow (Central/Queen St),48.0,81.0,direct_match,,,,glasgow_scotrail,3,,,,,,
GR_0004,Ashchurch for Tewkesbury,,ASC,Great_Western,['Golden Valley Line'],Tewkesbury,51.99916912,-2.109057444,False,1,False,31.22,,0,0,0,0,London,2.0,2.0,direct_match,,,,gwr_london,2,,,,,,
GR_0005,Ashley Down,,ASD,Great_Western,['Henbury Line'],"Bristol, City of",51.4786762,-2.5771154,False,1,False,9.49,,0,0,0,0,London,31.0,31.0,interchange_match,,,BRSTLEJ,gwr_london,2,,,,,,
SC_0027,Ashfield,,ASF,Scotrail,['Maryhill Line'],Glasgow City,55.889214,-4.2433,False,1,False,17.5,,0,0,0,0,Glasgow (Central/Queen St),8.0,50.0,direct_match,,,,glasgow_scotrail,2,,,,,,
EM_0002,Alsager,,ASG,East_Midlands,['Castle Line'],Cheshire East,53.09275298,-2.298612158,False,1,False,55.04,,0,0,0,0,Derby,57.0,57.0,darwin_interchange,not assigned,,,east_midlands_emr,2,,,,,,
SW_0006,Ash,,ASH,South Western,"['Alton Line', 'North Downs']",Guildford,51.24959566,-0.712804737,False,1,False,46.71,,0,34,58,58,London,79.0,79.0,interchange_match,,,EARLSWD,south_western,1,,,,,,
NR_0023,Askam,,ASK,Northern,"['Cumbrian Coast Line', 'Furness Line']",Westmorland and Furness,54.18904409,-3.204522253,True,2,True,0.71,,0,2,0,2,Liverpool (Lime St/Central),185.0,4.0,interchange_match_low_confidence,,PRSTNFJ,,liverpool_merseyside,2,,,,,,
NR_0020,Ashington,,ASL,Northern,['Northumberland Line'],Northumberland,55.18308937,-1.573077995,False,1,False,3.14,,67,68,48,68,Newcastle,36.0,73.0,direct_match,,,,newcastle_northern,1,,,,,,
SW_0001,Addlestone,,ASN,South Western,['Hounslow Loop'],Runnymede,51.37304695,-0.484448913,True,1,False,57.99,,0,0,0,0,London,76.0,76.0,direct_match,,,,south_western,3,,,,,,
NR_0024,Aspatria,,ASP,Northern,['Cumbrian Coast Line'],Cumberland,54.75932254,-3.331737575,False,1,False,6.58,,0,0,0,0,Newcastle,152.0,35.0,interchange_match,,CARLILE,,newcastle_northern,2,,,,,,
SC_0012,Alness,,ASS,Scotrail,['Far North Line'],Highland,57.694477,-4.249743,False,1,True,0.93,,0,0,0,0,Inverness,50.0,24.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
CM_0057,Aston,,AST,West Midlands Railway,['Cross-City'],Birmingham,52.505104,-1.871788,True,1,False,88.26,,0,0,0,0,Birmingham New Street,8.0,226.0,direct_match,,,,chiltern_wmr,3,,,,,,
NR_0021,Ashley,,ASY,Northern,['Mid-Cheshire Line'],Cheshire East,53.35601141,-2.341015897,False,1,False,46.29,,0,0,0,0,Manchester (Picc/Vic),36.0,36.0,direct_match,,,,manchester_northern,2,,,,,,
EM_0006,Attenborough,,ATB,East_Midlands,['Castle Line'],Broxtowe,52.9063664,-1.231269105,False,1,False,84.51,,0,0,0,0,Nottingham,8.0,8.0,darwin_interchange,not assigned,,,east_midlands_emr,2,,,,,,
NR_0025,Atherton,,ATN,Northern,['Atherton Line'],Wigan,53.52901633,-2.478177715,False,1,False,35.93,,0,0,0,0,Manchester (Picc/Vic),26.0,68.0,direct_match,,,,manchester_northern,2,,,,,,
SC_0028,Attadale,,ATT,Scotrail,['Kyle Line'],Highland,57.394871,-5.456549,False,1,True,0.18,,0,0,0,0,Inverness,124.0,9.0,direct_match,,,,highlands_ne_scotrail,2,,,,,,
ME_0004,Aughton Park,,AUG,Merseyrail,['Northern Line'],West Lancashire,53.55448798,-2.895078195,False,1,False,11.68,,0,0,0,0,Liverpool (Lime St/Central),33.0,114.0,direct_match_bugfixed,,,,liverpool_merseyside,2,,,,,,
SC_0019,Ardlui,,AUI,Scotrail,"['Road to the Isles', 'West Highland Line']",Argyll and Bute,56.302025,-4.721712,True,2,False,10.7,,0,0,0,0,Glasgow (Central/Queen St),92.0,19.0,direct_match,,,,glasgow_scotrail,2,,,,,,
SC_0029,Auchinleck,,AUK,Scotrail,['Glasgow South Western Line'],East Ayrshire,55.47031,-4.295389,False,1,False,20.74,,0,0,0,0,Glasgow (Central/Queen St),60.0,18.0,direct_match,,,,glasgow_scotrail,2,,,,,,
SC_0002,Aberdour,,AUR,Scotrail,['Fife Circle'],Fife,56.054646,-3.300575,False,1,True,0.4,,0,0,0,0,Edinburgh Waverley,34.0,70.0,direct_match,,,,edinburgh_scotrail,2,70.0,,,,,
SC_0030,Aviemore,,AVM,Scotrail,['Highland Main Line'],Highland,57.18914,-3.828348,True,1,False,38.88,,1,0,0,1,Inverness,36.0,24.0,direct_match,,,,highlands_ne_scotrail,3,,,,,,
CM_0034,Aylesbury Vale Parkway,,AVP,Chiltern Railways,['Amersham Line'],Buckinghamshire,51.8327,-0.8623,False,1,False,96.65,,183,132,126,183,London,60.0,60.0,direct_match,,,,chiltern_wmr,1,,,,,,
TW_0004,Aberdovey,,AVY,TfW,['Cambrian Coast Line'],Gwynedd,52.54397223,-4.057080835,False,1,True,0.25,Aberdyfi,0,0,0,0,Shrewsbury,106.0,18.0,interchange_match,,MCHYNLT,,shrewsbury_wrexham_chester,2,,,,,,
NR_0005,Adwick,,AWK,Northern,['Hallam Line'],Doncaster,53.57302304,-1.181475098,False,1,False,35.8,,38,88,0,88,Sheffield,50.0,36.0,direct_match,,,,leeds_sheffield_northern,2,,,,,,
NR_0016,Armathwaite,,AWT,Northern,['Settle Carlisle Line'],Westmorland and Furness,54.8091136,-2.771682007,False,1,False,20.22,,0,0,0,0,Leeds,148.0,14.0,direct_match_reassigned,Newcastle,,,leeds_sheffield_northern,2,,,,,,
SW_0010,Axminster,,AXM,South Western,"['East Devon Line', 'South West Main Line']",East Devon,50.7785826,-3.00522804,True,2,False,6.95,,2,1,0,2,London,48.0,48.0,direct_match,,,,south_western,2,,,,,,
SC_0009,Alexandra Parade,,AXP,Scotrail,"['Argyle Line', 'North Clyde Electrics']",Glasgow City,55.863724,-4.211465,True,2,False,20.23,,0,0,0,0,Glasgow (Central/Queen St),8.0,86.0,direct_match,,,,glasgow_scotrail,2,,,,,,
SC_0031,Ayr,,AYR,Scotrail,['Ayrshire Coast'],South Ayrshire,55.458248,-4.626878,False,1,True,0.29,,115,142,120,142,Glasgow (Central/Queen St),51.0,83.0,direct_match,,,,glasgow_scotrail,2,,,,,,
CM_0033,Aylesbury,,AYS,Chiltern Railways,['Amersham Line'],Buckinghamshire,51.813868,-0.815048,False,1,False,92.81,,196,132,124,196,London,130.0,130.0,direct_match,,,,chiltern_wmr,2,,,,,,
TW_0008,Aberystwyth,,AYW,TfW,"['Cambrian Line', 'North Wales Coast Line']",Ceredigion,52.41401,-4.08174,True,2,True,0.33,Aberystwyth,146,143,118,146,Shrewsbury,110.0,36.0,direct_match_reassigned,Swansea,,,shrewsbury_wrexham_chester,1,,,,,,
SO_0011,Barnham,,BAA,Southern,"['West Coastway', 'Arun Valley']",Arun,50.83089289,-0.639679689,True,2,False,4.5,,121,211,114,211,London,68.0,68.0,direct_match,,,,thameslink_southern,4,,,,,,
SO_0008,Balcombe,,BAB,Southern,['Brighton Main Line'],Mid Sussex,51.05551334,-0.136932431,False,1,False,24.16,,0,0,0,0,London,76.0,76.0,direct_match,,,,thameslink_southern,2,,,,,,
ME_0005,Bache,,BAC,Merseyrail,['Wirral Line'],Cheshire West and Chester,53.20933376,-2.892360673,False,1,False,13.34,,0,0,0,0,Wrexham/Chester,82.0,182.0,direct_match_reassigned,Liverpool (Lime St/Central),,,shrewsbury_wrexham_chester,2,,,,,,
SO_0010,Banstead,,BAD,Southern,['Epsom Downs Line'],Reigate and Banstead,51.32934844,-0.213158063,False,1,False,44.14,,0,0,0,0,London,68.0,68.0,direct_match,,,,thameslink_southern,2,,,,,,
SW_0011,Bagshot,,BAG,South Western,['Waterloo to Reading Line'],Surrey Heath,51.36436905,-0.688659892,False,1,False,59.28,,0,0,0,0,London,6.0,6.0,direct_match,,,,south_western,2,,,,,,
ME_0006,Bank Hall,,BAH,Merseyrail,['Northern Line'],Liverpool,53.43780206,-2.987464984,False,1,False,2.56,,0,0,0,0,Liverpool (Lime St/Central),9.0,143.0,direct_match_bugfixed,,,,liverpool_merseyside,2,,,,,,
SC_0052,Blairhill,,BAI,Scotrail,"['Argyle Line', 'North Clyde Electrics']",North Lanarkshire,55.866653,-4.04221,True,2,False,26.91,,0,0,0,0,Glasgow (Central/Queen St),19.0,150.0,direct_match,,,,glasgow_scotrail,2,,,,,,
TW_0010,Baglan,,BAJ,TfW,"['Central Wales Line', 'Heart of Wales Line', 'Swanline']",Neath Port Talbot,51.61456,-3.80971,True,2,False,2.2,Baglan,0,0,0,0,Swansea,24.0,44.0,direct_match,,,,gwr_wales_corridor,2,,,,,,
SO_0012,Battersea Park,,BAK,Southern,"['Epsom Downs Line', 'Mole Valley Line']",South West London,51.47733308,-0.148162967,True,2,False,37.77,,2,11,333,333,London,357.0,357.0,direct_match,,,,thameslink_southern,1,,,,,,
SO_0009,Balham,,BAL,Southern,['Sutton & Metro'],South London,51.44322754,-0.152421221,True,1,False,38.0,,2,0,1,2,London,805.0,805.0,direct_match,,,,thameslink_southern,3,,,,,,
NR_0028,Bamford,,BAM,Northern,"['Buxton Line', 'Hope Valley Line']",High Peak,53.33901464,-1.689082177,True,2,False,77.92,,0,0,0,0,Sheffield,18.0,138.0,direct_match,,,,leeds_sheffield_northern,2,,,,,,
CM_0016,Banbury,,BAN,Chiltern Railways,"['Chiltern Line', 'Oxford Canal Line']",Cherwell,52.060925,-1.327541,True,2,False,79.26,,72,64,26,72,London,73.0,73.0,direct_match,,,,chiltern_wmr,2,,,,,,
NR_0030,Bare Lane,,BAR,Northern,"['Bentham Line', 'Settle Carlisle Line']",Lancaster,54.07533066,-2.835940378,True,2,True,0.53,,0,0,0,0,Leeds,118.0,10.0,direct_match_reassigned,Liverpool (Lime St/Central),,,leeds_sheffield_northern,3,,,,,,
SO_0158,Battle,,BAT,Southern,"['East Coastway', 'Hastings Line Extended']",Rother,50.91312,0.495169,False,1,False,7.46,,0,3,36,36,London,73.0,73.0,direct_match,,,,thameslink_southern,2,,,,,,
